Composition,CTE Value,Start Temp (°C),End Temp (°C),paper
La2(Zr1.7Ce0.3)O7,0.00001093,298,1673,10.1016/j.jallcom.2012.02.077
La2(Zr1.6Ce0.4)O7,0.00001123,298,1273,10.1016/j.mtcomm.2025.111579
(Ca0.1Gd0.9)2(Zr0.9Nb0.1)2O7,0.0000102,298,1273,10.1039/c0dt01688h
(Ca0.5Gd0.5)2(Zr0.5Nb0.5)2O7,0.0000094,298,1273,10.1039/c0dt01688h
(Ca0.1Gd0.9)2(Zr0.9Ta0.1)2O7,0.0000104,298,1273,10.1039/c0dt01688h
(Ca0.5Gd0.5)2(Zr0.5Ta0.5)2O7,0.0000092,25,25,10.1039/c0dt01688h
(Ho0.2Y0.2Dy0.2Gd0.2Eu0.2)2Ti2O7,0.0000116,25,1200,10.1016/j.jeurceramsoc.2022.07.006
(La0.3Gd0.3Ca0.4)2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7,0.000009,298,1273,10.1016/j.jmst.2024.02.089
CaZrO3,0.0000124,25,1200,10.4028/www.scientific.net/KEM.778.236
Ca2Nb2O7,0.0000107,1273,1273,10.1016/j.jmst.2024.02.089
Nd2Ce2O7,0.0000135,25,1200,ping et al.
