aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom
"a,x4","10.8637,0.421529",aflow:11c9372b0f238e69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_236209,"4,4,14",Hf4La4O14,7.73747,-9.3467,-9.3467,22,0
"a,x4","10.5348,0.817043",aflow:11506721a61caf80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_72206,"4,4,14",Ca4Nb4O14,4.29451,-8.01923,-8.01923,22,0
"a,x4","10.453,0.817262",aflow:121f0ee16c60c90a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159804,"4,14,4",Hg4O14Os4,10.3931,-5.47961,-5.47961,22,0.530222
"a,x4","10.563,0.843012",aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,"4,14,4",Ho4O14Sn4,7.65603,-7.10373,-7.10373,22,0
"a,x4","10.5024,0.419969",aflow:13424be793e4ee26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_73787,"4,14,4",Bi4O14Ru4,8.39541,-6.13347,-6.13347,22,0.363628
"a,x4","10.8447,0.834962",aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,"4,14,4",Bi4O14Sn4,7.99231,-5.90772,-5.90772,22,0
"a,x4","10.7365,0.418368",aflow:14d786d35c76cb0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Nd2O7_ICSD_236210,"4,4,14",Hf4Nd4O14,8.13024,-9.69325,-9.69325,22,0.545505
"a,x4","10.4576,0.833735",aflow:148bf06809f995c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2F1O6Ta2_ICSD_50048,"4,2,12,4",Ca4F2O12Ta4,6.47054,-8.1495,-8.1495,22,0.0902556
"a,x4","10.0566,0.41755",aflow:15306e405a40d418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7V2_ICSD_160866,"4,14,4",Er4O14V4,7.16276,-8.20866,-8.20866,22,0.181812
"a,x4","10.855,0.414142",aflow:151fad1cd73ac6ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Sn2_ICSD_84744,"14,4,4",O14Pr4Sn4,6.55556,-7.22882,-7.22882,22,0.363631
