material_id,formula_pretty,composition,elements,a_lattice,b_lattice,c_lattice,volume,density,crystal_system,space_group_symbol,space_group_number,point_group,band_gap,cbm,vbm,is_gap_direct,total_magnetization,energy_above_hull,formation_energy_per_atom,energy_per_atom,bulk_modulus,shear_modulus,homogeneous_poisson,dielectric_constant,last_updated,deprecated
mp-505552,Cd2Ru2O7,Cd4 Ru4 O14,"Cd, O, Ru",10.146941,10.147132,10.156391,1045.7259,6.8465,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.000253099999999,0.0,-1.4011993481818181,-6.410704120454546,,,,,2025-09-23 22:47:33.259000+00:00,False
mp-505306,Eu2Sn2O7,Eu4 Sn4 O14,"Eu, O, Sn",10.530793,10.530793,10.530793,1167.8395,7.4319,Cubic,Fd-3m,227,m-3m,0.0,,,False,24.0016602,0.045035065454543007,-2.6704880995454543,-8.418769424545454,,,,,2025-09-23 22:47:33.251000+00:00,False
mp-505751,Mn2In2O7,Mn4 In4 O14,"In, Mn, O",9.729318,9.729324,9.729325,920.9748,6.5127,Cubic,Fd-3m,227,m-3m,1.048599999999999,6.1647,5.1161,False,11.9707875,0.00014055848484300002,-1.9003598490177631,-7.216551222272727,,,,,2025-09-23 22:47:33.271000+00:00,False
mp-505801,Eu2Ti2O7,Eu4 Ti4 O14,"Eu, O, Ti",10.225231,10.225216,10.223515,1068.9215,6.3586,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.0001174,0.07029339181818,-3.409178926060606,-9.863991189545454,,,,,2025-09-23 22:47:33.274000+00:00,False
mp-5373,Y2Ti2O7,Y4 Ti4 O14,"O, Ti, Y",10.101839,10.101839,10.101839,1030.864,4.9683,Cubic,Fd-3m,227,m-3m,2.7208,5.7125,2.9917,False,0.0,0.010947579090913,-3.74501564060606,-9.512733283181818,"{'voigt': 186.139, 'reuss': 186.139, 'vrh': 186.139}","{'voigt': 98.698, 'reuss': 98.146, 'vrh': 98.422}",0.275,,2025-09-23 22:47:33.286000+00:00,False
mp-510605,Gd2Zr2O7,Gd4 Zr4 O14,"Gd, O, Zr",10.543464,10.543464,10.543464,1172.0603,6.9019,Cubic,Fd-3m,227,m-3m,0.0,,,False,28.0010583,0.27279957409090905,-3.577997288636364,-10.840122086363637,,,,,2025-09-23 22:47:33.276000+00:00,False
mp-5302,Gd2Ti2O7,Gd4 Ti4 O14,"Gd, O, Ti",10.186822,10.186822,10.186822,1057.1003,6.5627,Cubic,Fd-3m,227,m-3m,0.0,,,False,28.0000004,0.010444198863641,-3.73057191742424,-10.87411333090909,"{'voigt': 183.909, 'reuss': 183.909, 'vrh': 183.909}","{'voigt': 95.85, 'reuss': 95.693, 'vrh': 95.771}",0.278,,2025-09-23 22:47:33.284000+00:00,False
mp-555716,Tm2Ru2O7,Tm4 Ru4 O14,"O, Ru, Tm",10.13196,10.13196,10.13196,1040.1127,8.3274,Cubic,Fd-3m,227,m-3m,0.0,,,False,2.1244998,0.043792458863631006,-2.610419896363638,-8.260377630454546,,,,,2025-09-23 22:47:33.325000+00:00,False
mp-554770,Sm2Mo2O7,Sm4 Mo4 O14,"Mo, O, Sm",10.401891,10.401891,10.401891,1125.4776,7.1362,Cubic,Fd-3m,227,m-3m,0.0,,,False,8.0,0.0,-2.8820770345454623,-8.86064062772728,,,,,2025-09-23 22:47:33.319000+00:00,False
mp-554545,Bi2Os2O7,Bi4 Os4 O14,"Bi, O, Os",10.359517,10.359517,10.359517,1111.7791,10.8783,Cubic,Fd-3m,227,m-3m,0.0,6.4013,6.4359,False,0.0,0.0,-1.486731913636363,-7.384052869545454,,,,,2025-09-23 22:47:33.316000+00:00,False
mp-554082,Ho2Hf2O7,Ho4 Hf4 O14,"Hf, Ho, O",10.391894,10.391894,10.391894,1122.2358,9.4561,Cubic,Fd-3m,227,m-3m,3.1157,5.4705,2.3548,False,0.0,0.013828901249993001,-4.009504141363635,-9.804546325454545,,,,,2025-09-23 22:47:33.312000+00:00,False
mp-5548,Ta2Cd2O7,Ta4 Cd4 O14,"Cd, O, Ta",10.40946,10.40946,10.40946,1127.9362,8.2291,Cubic,Fd-3m,227,m-3m,2.0269,3.1128,1.0859,False,0.0,0.0,-2.681269108606061,-8.16214206318182,"{'voigt': 155.679, 'reuss': 155.679, 'vrh': 155.679}","{'voigt': 84.237, 'reuss': 83.888, 'vrh': 84.063}",0.271,,2025-09-23 22:47:33.322000+00:00,False
mp-557684,Er2V2O7,Er4 V4 O14,"Er, O, V",9.939641,9.939641,9.939641,982.0015,7.4186,Cubic,Fd-3m,227,m-3m,0.0,,,False,3.999999899999999,0.00636384477273,-3.250776504545453,-8.88159257681818,,,,,2025-09-23 22:47:33.335000+00:00,False
mp-556524,Nb2Sn2O7,Nb4 Sn4 O14,"Nb, O, Sn",10.76059,10.76059,10.76059,1245.9719,5.7065,Cubic,Fd-3m,227,m-3m,0.9544,5.7632,4.8088,False,0.0002726,0.086500161818213,-2.456659464090909,-8.170975902727273,,,,,2025-09-23 22:47:33.331000+00:00,False
mp-555225,Bi2Rh2O7,Bi4 Rh4 O14,"Bi, O, Rh",10.271345,10.271311,10.271205,1083.614,9.02,Cubic,Fd-3m,227,m-3m,0.0,,,False,2.7000000000000002e-05,0.0,-1.458941563636362,-6.653888054090908,,,,,2025-09-23 22:47:33.324000+00:00,False
mp-555785,Nd2Ti2O7,Nd4 Ti4 O14,"Nd, O, Ti",10.303253,10.303253,10.303255,1093.7628,6.0268,Cubic,Fd-3m,227,m-3m,2.7444,5.5076,2.7632,True,7e-07,0.040158393181819005,-3.690813383333332,-9.14199574090909,,,,,2025-09-23 22:47:33.327000+00:00,False
mp-557453,La2Zr2O7,La4 Zr4 O14,"La, O, Zr",10.750772,10.750772,10.750772,1242.5645,6.118,Cubic,Fd-3m,227,m-3m,0.064399999999999,5.0463,4.9818999999999996,True,0.0007249,0.38280247909090903,-3.5265317459090912,-9.126817428181818,,,,,2025-09-23 22:47:33.332000+00:00,False
mp-5472,Nb2Cd2O7,Nb4 Cd4 O14,"Cd, Nb, O",10.464315,10.464315,10.464315,1145.8624,6.059,Cubic,Fd-3m,227,m-3m,1.883899999999999,2.7678000000000003,0.8839,False,0.0,0.009730617045454,-2.4543342922727263,-7.614184973636363,,,,,2025-09-23 22:47:33.309000+00:00,False
mp-554235,La2Hf2O7,La4 Hf4 O14,"Hf, La, O",10.666588,10.666588,10.666588,1213.6028,8.1745,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.0001724,0.447976244545472,-3.594200769090909,-9.450757069545453,,,,,2025-09-23 22:47:33.313000+00:00,False
mp-554638,Ca2Ru2O7,Ca4 Ru4 O14,"Ca, O, Ru",10.23772,10.23772,10.23772,1073.0247,4.8814,Cubic,Fd-3m,227,m-3m,0.0,,,False,12.0962012,0.0,-2.163831028181818,-7.363443016818182,,,,,2025-09-23 22:47:33.318000+00:00,False
