Egap,Egap_type,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
1.7677,insulator-direct,142.278,639.795,0.23249,92.6434,228.364,"a,x4","10.5375,0.817079",705,8.92748,2.85335e-05,aflow:4aaabc9e717d320e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_22411,Ca4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2737,insulator-indirect_spin-polarized,179.628,555.168,0.268256,98.4684,249.766,"a,x4","10.3153,0.829202",560.876,6.45483,3.12767e-05,aflow:4ce95fbe3fce93b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_24207,Gd4O14Ti4,"7.01,7.009,7.011,7.01,-0.041,-0.041,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.005,-0.005,-0.005,-0.005",1.27275,56
3.3021,insulator-indirect,184.839,562.653,0.266086,102.449,259.418,"a,x4","10.249,0.830762",567.945,6.63451,3.09264e-05,aflow:4dc4576f6ea86fac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_151747,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
2.8929,insulator-indirect,168.367,444.704,0.307087,74.5479,194.881,"a,x4","10.4743,0.824495",453.08,3.89553,3.47288e-05,aflow:4ddd3fc4b2a6ef79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ti2_ICSD_161100,Bi4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.4623,insulator-direct,148.233,543.52,0.229612,97.7883,240.483,"a,x4","10.5611,0.817387",603.043,8.30922,2.88566e-05,aflow:54ff4abcf9aa0a9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Ta2_ICSD_27121,Ca4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2676,insulator-indirect,169.15,549.063,0.280282,87.087,222.992,"a,x4","10.6069,0.822847",552.056,5.5638,3.1944e-05,aflow:5419805aeec1a922,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Ti2_ICSD_164027,La4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2411,insulator-indirect,185.922,558.223,0.267179,102.479,259.719,"a,x4","10.2224,0.831543",563.873,6.58296,3.10801e-05,aflow:55b9faf4733959de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Ti2_ICSD_188553,Dy4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
1.0459,insulator-indirect,142.967,556.831,0.22237,97.4137,238.151,"a,x4","10.7485,0.437578",603.108,7.65654,3.04421e-05,aflow:56428d5401825d75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nb2O7Sn2_ICSD_163817,Nb4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.7011,insulator-direct,160.711,555.027,0.271695,86.5563,220.147,"a,x4","10.605,0.840556",583.924,6.58133,2.96307e-05,aflow:574859fb725b71ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Y2Zr2_ICSD_153818,O14Y4Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,170.483,463.685,0.263872,95.5536,241.535,"a,x4","10.3939,0.829863",479.911,4.65744,3.55198e-05,aflow:5882443e36213ebb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_161102,Bi4O14Ru4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
3.4526,insulator-indirect,168,451.01,0.262282,94.9153,239.62,"a,x4","10.5943,0.835488",472.1,5.86906,3.04456e-05,aflow:5f18888e5af5d54c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Hf2O7_ICSD_236213,Gd4Hf4O14,"7.008,7.009,7.008,7.008,-0.005,-0.005,-0.005,-0.005,-0.013,-0.014,-0.013,-0.013,-0.014,-0.013,-0.013,-0.013,-0.014,-0.013,-0.014,-0.013,-0.042,-0.042",1.27271,56
1.0682,insulator-indirect,176.456,376.326,0.30718,78.0858,204.145,"a,x4","10.5298,0.832063",379.919,2.68623,3.88883e-05,aflow:646ccd3a29e844e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Pt2_ICSD_161104,Bi4O14Pt4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,72
2.173,insulator-direct,161.939,464.382,0.269272,88.3115,224.183,"a,x4","10.5375,0.843816",468.959,4.27273,3.75243e-05,aflow:6e0cff70171929f0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Sn2_ICSD_82962,Er4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,131.95,473.869,0.196273,100.504,240.461,"a,x4","10.8537,0.433001",467.914,4.30099,4.61729e-05,aflow:6f7b1c9a0527f360,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pb2Sb2_ICSD_27120,O14Pb4Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.173,insulator-direct,161.939,464.382,0.269272,88.3115,224.183,"a,x4","10.5375,0.843816",468.959,4.27273,3.75243e-05,aflow:7146000986be1a20,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Sn2_ICSD_84749,Er4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.1172,insulator-indirect,187.311,554.34,0.266916,103.383,261.956,"a,x4","10.1711,0.83274",560.982,6.62512,3.10007e-05,aflow:741f2418db817598,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Ti2_ICSD_150211,Er4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.4798,insulator-indirect,153.444,484.759,0.272074,82.4811,209.844,"a,x4","10.4322,0.823978",489.061,2.9836,4.69587e-05,aflow:756096e33f80cb70,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Sb2_ICSD_165168,Cd4O14Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
4.4648,insulator-direct,164.978,454.664,0.26995,89.6564,227.718,"a,x4","10.8645,0.828475",465.086,5.26227,3.07248e-05,aflow:76fb1c0b95c6b115,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_153815,Hf4La4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.2481,insulator-direct,159.089,521.808,0.272322,85.4055,217.327,"a,x4","10.6051,0.841786",523.879,4.5744,3.68274e-05,aflow:81c58f5faba12e54,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_24193,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2858,insulator-indirect,182.45,650.523,0.267236,100.536,254.807,"a,x4","10.2414,0.83098",657.042,7.51764,2.95668e-05,aflow:8673f401144ed031,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_14242,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
