aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom,geometry,positions_fractional,Egap,Egap_type,spinD,valence_cell_iupac,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K
"a,x4","10.6145,0.841631",aflow:cedf17a4e9dbe94a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159788,"14,4,4",O14Sn4Tb4,7.41157,-7.11239,-7.11239,22,0.0,"7.50561,7.50561,7.50561,60,60,60","[0.408369, 0.341631, 0.341631],[0.841631, 0.908369, 0.908369],[0.408369, 0.341631, 0.908369],[0.841631, 0.908369, 0.341631],[0.408369, 0.908369, 0.341631],[0.841631, 0.341631, 0.908369],[0.158369, 0.0916308, 0.658369],[0.591631, 0.658369, 0.0916308],[0.158369, 0.0916308, 0.0916308],[0.591631, 0.658369, 0.658369],[0.591631, 0.0916308, 0.658369],[0.158369, 0.658369, 0.0916308],[0.875, 0.375, 0.375],[0.125, 0.625, 0.625],[0, 0, 0],[0.5, 0.5, 0],[0.5, 0, 0.5],[0.5, 0, 0],[0.5, 0.5, 0.5],[0, 0, 0.5],[0, 0.5, 0],[0, 0.5, 0.5]",2.2258,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",60.0,,,,,,,,
"a,x4","10.5066,0.405442",aflow:d07be6ef67169729,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tm2_ICSD_82963,"14,4,4",O14Sn4Tm4,7.87165,-7.30322,-7.30322,22,0.36364,"7.42928,7.42928,7.42928,60,60,60","[0.594558, 0.655442, 0.0945582],[0.155442, 0.0945582, 0.655442],[0.594558, 0.655442, 0.655442],[0.155442, 0.0945582, 0.0945582],[0.594558, 0.0945582, 0.655442],[0.155442, 0.655442, 0.0945582],[0.844558, 0.905442, 0.905442],[0.405442, 0.344558, 0.344558],[0.844558, 0.905442, 0.344558],[0.405442, 0.344558, 0.905442],[0.405442, 0.905442, 0.344558],[0.844558, 0.344558, 0.905442],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375],[0, 0, 0],[0.5, 0.5, 0],[0.5, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0.5],[0, 0, 0.5],[0, 0.5, 0.5],[0, 0.5, 0]",1.7741,insulator-direct,"0.005,0.006,0.005,0.005,0.006,0.007,0.005,0.005,0.006,0.005,0.006,0.007,0.018,0.018,0,0,0,0,1.979,1.975,1.97,1.975",60.0,,,,,,,,
"a,x4","10.24,0.830869",aflow:d0f4b2501a789602,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_160111,"14,4,4",O14Ti4Y4,4.77079,-8.5956,-8.5956,22,0.0,"7.24074,7.24074,7.24074,60,60,60","[0.794131, 0.205869, 0.205869],[0.205869, 0.794131, 0.794131],[0.794131, 0.794131, 0.205869],[0.205869, 0.205869, 0.794131],[0.205869, 0.794131, 0.205869],[0.794131, 0.205869, 0.794131],[0.544131, 0.544131, 0.955869],[0.955869, 0.955869, 0.544131],[0.544131, 0.955869, 0.955869],[0.955869, 0.544131, 0.544131],[0.544131, 0.955869, 0.544131],[0.955869, 0.544131, 0.955869],[0.5, 0.5, 0.5],[0.25, 0.25, 0.25],[0.875, 0.875, 0.375],[0.375, 0.875, 0.875],[0.875, 0.875, 0.875],[0.875, 0.375, 0.875],[0.375, 0.375, 0.875],[0.875, 0.375, 0.375],[0.375, 0.375, 0.375],[0.375, 0.875, 0.375]",3.2916,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.4283,0.831568",aflow:d1c53dfc3ace44df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2Ir2O7_ICSD_161103,"4,4,14",Bi4Ir4O14,10.7112,-6.05226,-6.05226,22,0.0,"7.37389,7.37389,7.37389,60,60,60","[0.5, 0.5, 0.5],[0, 0, 0.5],[0, 0.5, 0],[0, 0.5, 0.5],[0, 0, 0],[0.5, 0.5, 0],[0.5, 0, 0.5],[0.5, 0, 0],[0.418432, 0.331568, 0.331568],[0.831568, 0.918432, 0.918432],[0.418432, 0.331568, 0.918432],[0.831568, 0.918432, 0.331568],[0.418432, 0.918432, 0.331568],[0.831568, 0.331568, 0.918432],[0.168432, 0.0815681, 0.668432],[0.581568, 0.668432, 0.0815681],[0.168432, 0.0815681, 0.0815681],[0.581568, 0.668432, 0.668432],[0.581568, 0.0815681, 0.668432],[0.168432, 0.668432, 0.0815681],[0.875, 0.375, 0.375],[0.125, 0.625, 0.625]",0.0,metal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",80.0,181.517,388.125,0.300895,83.3448,216.846,401.036,3.29991,3.55691e-05
"a,x4","10.9541,0.418577",aflow:d146f4324e1aee9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_15165,"4,14,4",La4O14Zr4,5.78358,-8.96014,-8.96014,22,0.0,"7.74569,7.74569,7.74569,60,60,60","[0.875, 0.875, 0.375],[0.375, 0.875, 0.875],[0.875, 0.875, 0.875],[0.875, 0.375, 0.875],[0.706423, 0.293577, 0.293577],[0.293577, 0.706423, 0.706423],[0.706423, 0.706423, 0.293577],[0.293577, 0.293577, 0.706423],[0.293577, 0.706423, 0.293577],[0.706423, 0.293577, 0.706423],[0.456423, 0.456423, 0.043577],[0.043577, 0.043577, 0.456423],[0.456423, 0.043577, 0.043577],[0.043577, 0.456423, 0.456423],[0.456423, 0.043577, 0.456423],[0.043577, 0.456423, 0.043577],[0, 0, 0],[0.75, 0.75, 0.75],[0.375, 0.375, 0.875],[0.875, 0.375, 0.375],[0.375, 0.375, 0.375],[0.375, 0.875, 0.375]",3.7972,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,155.689,498.354,0.276298,81.8649,208.968,512.047,5.3462,3.09565e-05
"a,x4","10.2783,0.412604",aflow:d3ff64cbbc976ffe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ru2Y2_ICSD_73799,"14,4,4",O14Ru4Y4,6.01864,-7.68351,-7.68351,22,0.36364,"7.26783,7.26783,7.26783,60,60,60","[0.212396, 0.212396, 0.787604],[0.787604, 0.787604, 0.212396],[0.212396, 0.787604, 0.787604],[0.787604, 0.212396, 0.212396],[0.787604, 0.212396, 0.787604],[0.212396, 0.787604, 0.212396],[0.462396, 0.0376039, 0.0376039],[0.0376039, 0.462396, 0.462396],[0.462396, 0.462396, 0.0376039],[0.0376039, 0.0376039, 0.462396],[0.462396, 0.0376039, 0.462396],[0.0376039, 0.462396, 0.0376039],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75],[0.125, 0.125, 0.625],[0.625, 0.125, 0.125],[0.125, 0.625, 0.125],[0.125, 0.125, 0.125],[0.625, 0.625, 0.125],[0.125, 0.625, 0.625],[0.625, 0.125, 0.625],[0.625, 0.625, 0.625]",0.5591,insulator-indirect,"0.054,0.066,0.07,0.07,0.072,0.059,0.07,0.07,0.066,0.054,0.072,0.059,-0.001,-0.001,1.709,1.719,1.709,1.699,0.03,0.03,0.03,0.029",72.0,187.339,541.614,0.29575,88.5913,229.584,546.998,4.75822,3.32709e-05
"a,x4","10.1445,0.831428",aflow:d308c5f751061c6e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2O7Sb2_ICSD_247303,"4,14,4",Ni4O14Sb4,6.01717,-5.35532,-5.35532,22,0.363663,"7.17326,7.17326,7.17326,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.331428, 0.331428, 0.418572],[0.918572, 0.918572, 0.831428],[0.331428, 0.918572, 0.418572],[0.918572, 0.331428, 0.831428],[0.918572, 0.331428, 0.418572],[0.331428, 0.918572, 0.831428],[0.0814276, 0.668572, 0.168572],[0.668572, 0.0814276, 0.581428],[0.0814276, 0.0814276, 0.168572],[0.668572, 0.668572, 0.581428],[0.0814276, 0.668572, 0.581428],[0.668572, 0.0814276, 0.168572],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]",0.0,half-metal,"1.718,1.91,1.728,1.553,0.048,0.045,0.062,0.062,0.055,0.057,0.062,0.062,0.045,0.048,0.055,0.057,0.136,0.136,-0.004,-0.004,-0.004,-0.005",64.0,,,,,,,,
"a,x4","10.9546,0.831303",aflow:d7291827efdc2c9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_51573,"4,14,4",La4O14Zr4,5.78272,-8.96012,-8.96012,22,0.0,"7.74608,7.74608,7.74608,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.331303, 0.331303, 0.418697],[0.918697, 0.918697, 0.831303],[0.331303, 0.918697, 0.418697],[0.918697, 0.331303, 0.831303],[0.918697, 0.331303, 0.418697],[0.331303, 0.918697, 0.831303],[0.0813031, 0.668697, 0.168697],[0.668697, 0.0813031, 0.581303],[0.0813031, 0.0813031, 0.168697],[0.668697, 0.668697, 0.581303],[0.0813031, 0.668697, 0.581303],[0.668697, 0.0813031, 0.168697],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]",3.8088,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.6064,0.408216",aflow:d7d99f26b0f9b5e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_84803,"14,4,4",O14Sn4Y4,5.86952,-7.43094,-7.43094,22,0.0,"7.49985,7.49985,7.49985,60,60,60","[0.341784, 0.908216, 0.408216],[0.908216, 0.341784, 0.841784],[0.908216, 0.341784, 0.408216],[0.341784, 0.908216, 0.841784],[0.341784, 0.341784, 0.408216],[0.908216, 0.908216, 0.841784],[0.658216, 0.0917843, 0.158216],[0.0917843, 0.658216, 0.591784],[0.0917843, 0.658216, 0.158216],[0.658216, 0.0917843, 0.591784],[0.658216, 0.658216, 0.591784],[0.0917843, 0.0917843, 0.158216],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0]",2.2456,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.8224,0.363123",aflow:d7aa254df71619ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184093,"4,14,4",La4O14Zr4,5.99732,-8.53522,-8.53522,22,0.0,"7.65256,7.65256,7.65256,60,60,60","[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.636877, 0.113123, 0.636877],[0.113123, 0.636877, 0.113123],[0.113123, 0.636877, 0.636877],[0.636877, 0.113123, 0.113123],[0.636877, 0.636877, 0.113123],[0.113123, 0.113123, 0.636877],[0.363123, 0.886877, 0.886877],[0.886877, 0.363123, 0.363123],[0.886877, 0.363123, 0.886877],[0.363123, 0.886877, 0.363123],[0.363123, 0.363123, 0.886877],[0.886877, 0.886877, 0.363123],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]",0.0,metal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
