aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom,geometry,positions_fractional,Egap,Egap_type,spinD,valence_cell_iupac,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K
"a,x4","10.7535,0.412346",aflow:02b83be6fa45621f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_165931,"4,14,4",Eu4O14Sn4,6.97914,-7.60395,-7.60395,22,1.09092,"7.60386,7.60386,7.60386,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0],[0.912346, 0.337654, 0.412346],[0.337654, 0.912346, 0.837654],[0.337654, 0.337654, 0.412346],[0.912346, 0.912346, 0.837654],[0.337654, 0.912346, 0.412346],[0.912346, 0.337654, 0.837654],[0.0876541, 0.0876541, 0.162346],[0.662346, 0.662346, 0.587654],[0.662346, 0.0876541, 0.162346],[0.0876541, 0.662346, 0.587654],[0.662346, 0.0876541, 0.587654],[0.0876541, 0.662346, 0.162346],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0.5]",0.1191,insulator-direct,"6.255,6.255,6.277,6.232,-0.064,-0.064,-0.067,-0.066,-0.063,-0.063,-0.066,-0.067,-0.064,-0.064,-0.063,-0.063,-0.181,-0.181,0,0,0,0.001",56.0,,,,,,,,
"a,x4","10.615,0.408404",aflow:03cafe802be14a86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159789,"14,4,4",O14Sn4Tb4,7.41062,-7.11238,-7.11238,22,0.0,"7.50593,7.50593,7.50593,60,60,60","[0.341596, 0.908404, 0.408404],[0.908404, 0.341596, 0.841596],[0.908404, 0.341596, 0.408404],[0.341596, 0.908404, 0.841596],[0.341596, 0.341596, 0.408404],[0.908404, 0.908404, 0.841596],[0.658404, 0.0915955, 0.158404],[0.0915955, 0.658404, 0.591596],[0.0915955, 0.658404, 0.158404],[0.658404, 0.0915955, 0.591596],[0.658404, 0.658404, 0.591596],[0.0915955, 0.0915955, 0.158404],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0]",2.2263,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",60.0,,,,,,,,
"a,x4","10.8226,0.363095",aflow:062a523c2f69593e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184090,"4,14,4",La4O14Zr4,5.99694,-8.53523,-8.53523,22,0.0,"7.65273,7.65273,7.65273,60,60,60","[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.636905, 0.113095, 0.636905],[0.113095, 0.636905, 0.113095],[0.113095, 0.636905, 0.636905],[0.636905, 0.113095, 0.113095],[0.636905, 0.636905, 0.113095],[0.113095, 0.113095, 0.636905],[0.363095, 0.886905, 0.886905],[0.886905, 0.363095, 0.363095],[0.886905, 0.363095, 0.886905],[0.363095, 0.886905, 0.363095],[0.363095, 0.363095, 0.886905],[0.886905, 0.886905, 0.363095],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]",0.0,metal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.4531,0.817257",aflow:0772a1c8b599cae6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159800,"4,14,4",Hg4O14Os4,10.3929,-5.47961,-5.47961,22,0.53022,"7.39146,7.39146,7.39146,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.317257, 0.317257, 0.432743],[0.932743, 0.932743, 0.817257],[0.317257, 0.932743, 0.432743],[0.932743, 0.317257, 0.817257],[0.932743, 0.317257, 0.432743],[0.317257, 0.932743, 0.817257],[0.0672573, 0.682743, 0.182743],[0.682743, 0.0672573, 0.567257],[0.0672573, 0.0672573, 0.182743],[0.682743, 0.682743, 0.567257],[0.0672573, 0.682743, 0.567257],[0.682743, 0.0672573, 0.182743],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]",0.0,metal,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",76.0,,,,,,,,
"a,x3,x4","12.6758,0.784033,0.73059",aflow:078ec14056edbac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4K2N4Zn1_ICSD_23993,"8,4,8,2",C8K4N8Zn2,1.61528,-6.79284,-6.79284,22,0.0,"8.96314,8.96314,8.96314,60,60,60","[0.659033, 0.022902, 0.659033],[0.659033, 0.659033, 0.659033],[0.022902, 0.659033, 0.659033],[0.659033, 0.659033, 0.022902],[0.0909673, 0.0909673, 0.0909673],[0.0909673, 0.727098, 0.0909673],[0.727098, 0.0909673, 0.0909673],[0.0909673, 0.0909673, 0.727098],[0.375, 0.875, 0.375],[0.375, 0.375, 0.375],[0.875, 0.375, 0.375],[0.375, 0.375, 0.875],[0.60559, 0.18323, 0.60559],[0.60559, 0.60559, 0.60559],[0.18323, 0.60559, 0.60559],[0.60559, 0.60559, 0.18323],[0.14441, 0.14441, 0.14441],[0.14441, 0.56677, 0.14441],[0.56677, 0.14441, 0.14441],[0.14441, 0.14441, 0.56677],[0, 0, 0],[0.75, 0.75, 0.75]",6.0946,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",80.0,,,,,,,,
"a,x4","10.5101,0.432883",aflow:09ff0d09d272bd58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75602,"4,4,14",Cd4Nb4O14,5.98009,-6.96766,-6.96766,22,0.0,"7.43179,7.43179,7.43179,60,60,60","[0, 0, 0],[0.5, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0.567117, 0.567117, 0.182883],[0.182883, 0.182883, 0.567117],[0.567117, 0.182883, 0.567117],[0.182883, 0.567117, 0.182883],[0.182883, 0.567117, 0.567117],[0.567117, 0.182883, 0.182883],[0.817117, 0.432883, 0.817117],[0.432883, 0.817117, 0.432883],[0.817117, 0.817117, 0.432883],[0.432883, 0.432883, 0.817117],[0.817117, 0.432883, 0.432883],[0.432883, 0.817117, 0.817117]",2.0808,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.7593,0.412651",aflow:0b10e0843fba0a6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_84754,"4,14,4",Eu4O14Sn4,6.96777,-7.60371,-7.60371,22,1.09084,"7.60799,7.60799,7.60799,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0],[0.5, 0, 0.5],[0, 0, 0.5],[0.0873491, 0.587349, 0.662651],[0.662651, 0.162651, 0.0873491],[0.662651, 0.587349, 0.662651],[0.0873491, 0.162651, 0.0873491],[0.662651, 0.587349, 0.0873491],[0.0873491, 0.162651, 0.662651],[0.912651, 0.837349, 0.912651],[0.337349, 0.412651, 0.337349],[0.337349, 0.837349, 0.912651],[0.912651, 0.412651, 0.337349],[0.337349, 0.412651, 0.912651],[0.912651, 0.837349, 0.337349],[0.625, 0.125, 0.625],[0.375, 0.875, 0.375],[0, 0, 0],[0, 0.5, 0.5],[0, 0.5, 0],[0.5, 0.5, 0]",0.1091,insulator-direct,"6.257,6.257,6.28,6.234,-0.067,-0.067,-0.065,-0.065,-0.063,-0.063,-0.065,-0.065,-0.067,-0.067,-0.063,-0.063,-0.181,-0.181,0,0,0,0.001",56.0,,,,,,,,
"a,x4","9.9871,0.831675",aflow:0d1208a0e9f34861,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Mn2O7_ICSD_202517,"4,4,14",Er4Mn4O14,7.41997,-7.79849,-7.79849,22,0.545491,"7.06194,7.06194,7.06194,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0, 0],[0.625, 0.625, 0.625],[0.375, 0.375, 0.375],[0.0816747, 0.668325, 0.668325],[0.668325, 0.0816747, 0.0816747],[0.668325, 0.668325, 0.0816747],[0.0816747, 0.0816747, 0.668325],[0.668325, 0.0816747, 0.668325],[0.0816747, 0.668325, 0.0816747],[0.918325, 0.918325, 0.331675],[0.331675, 0.331675, 0.918325],[0.331675, 0.918325, 0.918325],[0.918325, 0.331675, 0.331675],[0.331675, 0.918325, 0.331675],[0.918325, 0.331675, 0.918325]",0.9107,insulator-indirect,"0.044,0.043,0.043,0.041,3.245,3.247,3.248,3.25,-0.008,-0.008,-0.095,-0.095,-0.102,-0.106,-0.097,-0.101,-0.106,-0.102,-0.095,-0.095,-0.097,-0.101",68.0,,,,,,,,
"a,x4","10.5206,0.421238",aflow:0e516a9b5a44c7c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Ru2_ICSD_78123,"14,4,4",O14Pr4Ru4,6.79873,-7.3744,-7.3744,22,0.727256,"7.43919,7.43919,7.43919,60,60,60","[0.796238, 0.203762, 0.203762],[0.203762, 0.796238, 0.796238],[0.203762, 0.796238, 0.203762],[0.796238, 0.203762, 0.796238],[0.203762, 0.203762, 0.796238],[0.796238, 0.796238, 0.203762],[0.453762, 0.0462377, 0.453762],[0.0462377, 0.453762, 0.0462377],[0.0462377, 0.453762, 0.453762],[0.453762, 0.0462377, 0.0462377],[0.0462377, 0.0462377, 0.453762],[0.453762, 0.453762, 0.0462377],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75],[0.625, 0.625, 0.625],[0.625, 0.625, 0.125],[0.625, 0.125, 0.625],[0.125, 0.625, 0.625],[0.125, 0.125, 0.125],[0.125, 0.125, 0.625],[0.125, 0.625, 0.125],[0.625, 0.125, 0.125]",0.422,insulator-indirect,"0.075,0.074,0.063,0.076,0.057,0.069,0.076,0.063,0.074,0.075,0.057,0.069,-0.032,-0.032,2.005,2.006,2.006,2.006,1.666,1.678,1.678,1.69",76.0,,,,,,,,
"a,x4","10.9692,0.833368",aflow:0e780d73b1b4da8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_82956,"4,14,4",La4O14Sn4,6.31256,-7.06214,-7.06214,22,0.0,"7.75643,7.75643,7.75643,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5],[0, 0.5, 0.5],[0.583368, 0.666632, 0.666632],[0.166632, 0.0833675, 0.0833675],[0.583368, 0.0833675, 0.666632],[0.166632, 0.666632, 0.0833675],[0.583368, 0.666632, 0.0833675],[0.166632, 0.0833675, 0.666632],[0.833368, 0.333368, 0.916632],[0.416632, 0.916632, 0.333368],[0.833368, 0.916632, 0.916632],[0.416632, 0.333368, 0.333368],[0.416632, 0.333368, 0.916632],[0.833368, 0.916632, 0.333368],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375],[0, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.5, 0, 0]",2.0896,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.7416,0.437266",aflow:10a6f530f72927cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_27119,"14,4,4",O14Sn4Ta4,7.62363,-7.95561,-7.95561,22,0.0,"7.59549,7.59549,7.59549,60,60,60","[0.5, 0.5, 0.5],[0.25, 0.25, 0.25],[0.812266, 0.187734, 0.812266],[0.187734, 0.812266, 0.187734],[0.812266, 0.187734, 0.187734],[0.187734, 0.812266, 0.812266],[0.187734, 0.187734, 0.812266],[0.812266, 0.812266, 0.187734],[0.562266, 0.937734, 0.937734],[0.937734, 0.562266, 0.562266],[0.562266, 0.937734, 0.562266],[0.937734, 0.562266, 0.937734],[0.562266, 0.562266, 0.937734],[0.937734, 0.937734, 0.562266],[0.375, 0.875, 0.375],[0.875, 0.375, 0.375],[0.375, 0.375, 0.875],[0.375, 0.375, 0.375],[0.875, 0.375, 0.875],[0.375, 0.875, 0.875],[0.875, 0.875, 0.375],[0.875, 0.875, 0.875]",1.6339,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",64.0,,,,,,,,
"a,x4","10.8233,0.886918",aflow:114c41b16be2e44f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184091,"4,14,4",La4O14Zr4,5.99581,-8.53523,-8.53523,22,0.0,"7.6532,7.6532,7.6532,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0],[0.886918, 0.363082, 0.386918],[0.363082, 0.886918, 0.863082],[0.363082, 0.363082, 0.386918],[0.886918, 0.886918, 0.863082],[0.363082, 0.886918, 0.386918],[0.886918, 0.363082, 0.863082],[0.113082, 0.113082, 0.136918],[0.636918, 0.636918, 0.613082],[0.636918, 0.113082, 0.136918],[0.113082, 0.636918, 0.613082],[0.636918, 0.113082, 0.613082],[0.113082, 0.636918, 0.136918],[0.125, 0.125, 0.625],[0.875, 0.875, 0.375],[0, 0, 0],[0, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0.5]",0.0,metal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.8637,0.421529",aflow:11c9372b0f238e69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_236209,"4,4,14",Hf4La4O14,7.73747,-9.3467,-9.3467,22,0.0,"7.68182,7.68182,7.68182,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5],[0.578471, 0.0784711, 0.671529],[0.171529, 0.671529, 0.0784711],[0.578471, 0.671529, 0.0784711],[0.171529, 0.0784711, 0.671529],[0.578471, 0.671529, 0.671529],[0.171529, 0.0784711, 0.0784711],[0.828471, 0.921529, 0.328471],[0.421529, 0.328471, 0.921529],[0.828471, 0.328471, 0.921529],[0.421529, 0.921529, 0.328471],[0.421529, 0.328471, 0.328471],[0.828471, 0.921529, 0.921529],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375]",4.4659,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.5348,0.817043",aflow:11506721a61caf80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_72206,"4,4,14",Ca4Nb4O14,4.29451,-8.01923,-8.01923,22,0.0,"7.44924,7.44924,7.44924,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5],[0.317043, 0.317043, 0.432957],[0.932957, 0.932957, 0.817043],[0.317043, 0.932957, 0.432957],[0.932957, 0.317043, 0.817043],[0.932957, 0.317043, 0.432957],[0.317043, 0.932957, 0.817043],[0.0670427, 0.682957, 0.182957],[0.682957, 0.0670427, 0.567043],[0.0670427, 0.0670427, 0.182957],[0.682957, 0.682957, 0.567043],[0.0670427, 0.682957, 0.567043],[0.682957, 0.0670427, 0.182957],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125]",1.7737,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.453,0.817262",aflow:121f0ee16c60c90a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159804,"4,14,4",Hg4O14Os4,10.3931,-5.47961,-5.47961,22,0.530222,"7.3914,7.3914,7.3914,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.317262, 0.317262, 0.432738],[0.932738, 0.932738, 0.817262],[0.317262, 0.932738, 0.432738],[0.932738, 0.317262, 0.817262],[0.932738, 0.317262, 0.432738],[0.317262, 0.932738, 0.817262],[0.0672623, 0.682738, 0.182738],[0.682738, 0.0672623, 0.567262],[0.0672623, 0.0672623, 0.182738],[0.682738, 0.682738, 0.567262],[0.0672623, 0.682738, 0.567262],[0.682738, 0.0672623, 0.182738],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]",0.0,metal,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",76.0,,,,,,,,
"a,x4","10.563,0.843012",aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,"4,14,4",Ho4O14Sn4,7.65603,-7.10373,-7.10373,22,0.0,"7.46914,7.46914,7.46914,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.343012, 0.343012, 0.406988],[0.906988, 0.906988, 0.843012],[0.343012, 0.906988, 0.406988],[0.906988, 0.343012, 0.843012],[0.906988, 0.343012, 0.406988],[0.343012, 0.906988, 0.843012],[0.0930119, 0.656988, 0.156988],[0.656988, 0.0930119, 0.593012],[0.0930119, 0.0930119, 0.156988],[0.656988, 0.656988, 0.593012],[0.0930119, 0.656988, 0.593012],[0.656988, 0.0930119, 0.156988],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]",2.1953,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,161.428,466.293,0.268858,88.2199,223.877,469.877,4.25834,3.75956e-05
"a,x4","10.5024,0.419969",aflow:13424be793e4ee26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_73787,"4,14,4",Bi4O14Ru4,8.39541,-6.13347,-6.13347,22,0.363628,"7.42632,7.42632,7.42632,60,60,60","[0.625, 0.625, 0.625],[0.125, 0.625, 0.625],[0.625, 0.625, 0.125],[0.625, 0.125, 0.625],[0.205031, 0.794969, 0.205031],[0.794969, 0.205031, 0.794969],[0.205031, 0.205031, 0.794969],[0.794969, 0.794969, 0.205031],[0.794969, 0.205031, 0.205031],[0.205031, 0.794969, 0.794969],[0.455031, 0.455031, 0.0449694],[0.0449694, 0.0449694, 0.455031],[0.455031, 0.0449694, 0.455031],[0.0449694, 0.455031, 0.0449694],[0.455031, 0.0449694, 0.0449694],[0.0449694, 0.455031, 0.455031],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75],[0.125, 0.125, 0.125],[0.625, 0.125, 0.125],[0.125, 0.125, 0.625],[0.125, 0.625, 0.125]",0.0,half-metal,"0.054,0.04,0.047,0.047,0.072,0.08,0.057,0.065,0.09,0.09,0.065,0.057,0.08,0.072,0.09,0.09,0.018,0.018,1.651,1.629,1.641,1.64",80.0,,,,,,,,
"a,x4","10.8447,0.834962",aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,"4,14,4",Bi4O14Sn4,7.99231,-5.90772,-5.90772,22,0.0,"7.66836,7.66836,7.66836,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.5, 0, 0.5],[0.334962, 0.415038, 0.834962],[0.915038, 0.834962, 0.415038],[0.334962, 0.834962, 0.415038],[0.915038, 0.415038, 0.834962],[0.334962, 0.415038, 0.415038],[0.915038, 0.834962, 0.834962],[0.0849623, 0.584962, 0.165038],[0.665038, 0.165038, 0.584962],[0.0849623, 0.165038, 0.584962],[0.665038, 0.584962, 0.165038],[0.665038, 0.584962, 0.584962],[0.0849623, 0.165038, 0.165038],[0.625, 0.125, 0.125],[0.375, 0.875, 0.875],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0, 0.5],[0, 0.5, 0]",2.6269,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",64.0,146.417,386.678,0.302113,66.7544,173.844,389.854,2.57219,4.20948e-05
"a,x4","10.7365,0.418368",aflow:14d786d35c76cb0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Nd2O7_ICSD_236210,"4,4,14",Hf4Nd4O14,8.13024,-9.69325,-9.69325,22,0.545505,"7.59188,7.59188,7.59188,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5],[0.581632, 0.0816317, 0.668368],[0.168368, 0.668368, 0.0816317],[0.581632, 0.668368, 0.0816317],[0.168368, 0.0816317, 0.668368],[0.581632, 0.668368, 0.668368],[0.168368, 0.0816317, 0.0816317],[0.831632, 0.918368, 0.331632],[0.418368, 0.331632, 0.918368],[0.831632, 0.331632, 0.918368],[0.418368, 0.918368, 0.331632],[0.418368, 0.331632, 0.331632],[0.831632, 0.918368, 0.918368],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375]",3.7692,insulator-indirect,"-0.003,-0.003,-0.003,-0.003,2.968,2.967,2.968,2.968,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.039,-0.039",60.0,,,,,,,,
"a,x4","10.4576,0.833735",aflow:148bf06809f995c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2F1O6Ta2_ICSD_50048,"4,2,12,4",Ca4F2O12Ta4,6.47054,-8.1495,-8.1495,22,0.0902556,"7.39462,7.39462,7.39462,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.375, 0.375, 0.375],[0.625, 0.625, 0.625],[0.666265, 0.0837348, 0.666265],[0.0837348, 0.666265, 0.0837348],[0.0837348, 0.666265, 0.666265],[0.666265, 0.0837348, 0.0837348],[0.666265, 0.666265, 0.0837348],[0.0837348, 0.0837348, 0.666265],[0.333735, 0.916265, 0.333735],[0.916265, 0.333735, 0.916265],[0.916265, 0.916265, 0.333735],[0.333735, 0.333735, 0.916265],[0.333735, 0.916265, 0.916265],[0.916265, 0.333735, 0.333735],[0, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0, 0]",0.0,metal,"0.01,0.01,0.01,0.01,0.002,0.002,0.017,0.016,0.015,0.015,0.018,0.017,0.017,0.016,0.017,0.018,0.015,0.015,0.26,0.304,0.307,0.354",54.0,,,,,,,,
"a,x4","10.0566,0.41755",aflow:15306e405a40d418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7V2_ICSD_160866,"4,14,4",Er4O14V4,7.16276,-8.20866,-8.20866,22,0.181812,"7.1111,7.1111,7.1111,60,60,60","[0, 0, 0],[0.5, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.58245, 0.58245, 0.16755],[0.16755, 0.16755, 0.58245],[0.58245, 0.16755, 0.58245],[0.16755, 0.58245, 0.16755],[0.16755, 0.58245, 0.58245],[0.58245, 0.16755, 0.16755],[0.83245, 0.41755, 0.83245],[0.41755, 0.83245, 0.41755],[0.83245, 0.83245, 0.41755],[0.41755, 0.41755, 0.83245],[0.83245, 0.41755, 0.41755],[0.41755, 0.83245, 0.83245],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0]",0.8473,insulator-indirect,"0.006,0.008,0.007,0.007,-0.028,-0.028,-0.026,-0.026,-0.025,-0.025,-0.026,-0.026,-0.028,-0.028,-0.025,-0.025,0,0,1.042,1.031,1.037,1.037",60.0,,,,,,,,
"a,x4","10.855,0.414142",aflow:151fad1cd73ac6ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Sn2_ICSD_84744,"14,4,4",O14Pr4Sn4,6.55556,-7.22882,-7.22882,22,0.363631,"7.67565,7.67565,7.67565,60,60,60","[0.335858, 0.914142, 0.414142],[0.914142, 0.335858, 0.835858],[0.914142, 0.335858, 0.414142],[0.335858, 0.914142, 0.835858],[0.335858, 0.335858, 0.414142],[0.914142, 0.914142, 0.835858],[0.664142, 0.0858578, 0.164142],[0.0858578, 0.664142, 0.585858],[0.0858578, 0.664142, 0.164142],[0.664142, 0.0858578, 0.585858],[0.664142, 0.664142, 0.585858],[0.0858578, 0.0858578, 0.164142],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5]",2.1716,insulator-direct,"-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.008,-0.031,-0.031,1.987,1.987,1.987,1.987,0.001,0.001,0.001,0.001",60.0,,,,,,,,
"a,x4","10.3427,0.822018",aflow:15ae777e26b8ed99,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155771,"4,14,4",Cd4O14Os4,8.61175,-5.83499,-5.83499,22,0.544937,"7.31337,7.31337,7.31337,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.322018, 0.322018, 0.427982],[0.927982, 0.927982, 0.822018],[0.322018, 0.927982, 0.427982],[0.927982, 0.322018, 0.822018],[0.927982, 0.322018, 0.427982],[0.322018, 0.927982, 0.822018],[0.0720178, 0.677982, 0.177982],[0.677982, 0.0720178, 0.572018],[0.0720178, 0.0720178, 0.177982],[0.677982, 0.677982, 0.572018],[0.0720178, 0.677982, 0.572018],[0.677982, 0.0720178, 0.177982],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]",0.0,metal,"0.032,0.033,0.032,0.032,0.167,0.148,0.189,0.189,0.165,0.184,0.189,0.189,0.148,0.167,0.165,0.184,0.121,0.121,2.288,2.273,2.289,2.304",68.0,,,,,,,,
