Egap,Egap_type,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
0.1191,insulator-direct,"a,x4","10.7535,0.412346",aflow:02b83be6fa45621f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_165931,Eu4O14Sn4,"6.255,6.255,6.277,6.232,-0.064,-0.064,-0.067,-0.066,-0.063,-0.063,-0.066,-0.067,-0.064,-0.064,-0.063,-0.063,-0.181,-0.181,0,0,0,0.001",1.09092,56
2.2263,insulator-direct,"a,x4","10.615,0.408404",aflow:03cafe802be14a86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159789,O14Sn4Tb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,"a,x4","10.8226,0.363095",aflow:062a523c2f69593e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184090,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4531,0.817257",aflow:0772a1c8b599cae6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159800,Hg4O14Os4,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",0.53022,76
6.0946,insulator-indirect,"a,x3,x4","12.6758,0.784033,0.73059",aflow:078ec14056edbac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4K2N4Zn1_ICSD_23993,C8K4N8Zn2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
2.0808,insulator-indirect,"a,x4","10.5101,0.432883",aflow:09ff0d09d272bd58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75602,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.1091,insulator-direct,"a,x4","10.7593,0.412651",aflow:0b10e0843fba0a6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_84754,Eu4O14Sn4,"6.257,6.257,6.28,6.234,-0.067,-0.067,-0.065,-0.065,-0.063,-0.063,-0.065,-0.065,-0.067,-0.067,-0.063,-0.063,-0.181,-0.181,0,0,0,0.001",1.09084,56
0.9107,insulator-indirect,"a,x4","9.9871,0.831675",aflow:0d1208a0e9f34861,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Mn2O7_ICSD_202517,Er4Mn4O14,"0.044,0.043,0.043,0.041,3.245,3.247,3.248,3.25,-0.008,-0.008,-0.095,-0.095,-0.102,-0.106,-0.097,-0.101,-0.106,-0.102,-0.095,-0.095,-0.097,-0.101",0.545491,68
0.422,insulator-indirect,"a,x4","10.5206,0.421238",aflow:0e516a9b5a44c7c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Ru2_ICSD_78123,O14Pr4Ru4,"0.075,0.074,0.063,0.076,0.057,0.069,0.076,0.063,0.074,0.075,0.057,0.069,-0.032,-0.032,2.005,2.006,2.006,2.006,1.666,1.678,1.678,1.69",0.727256,76
2.0896,insulator-direct,"a,x4","10.9692,0.833368",aflow:0e780d73b1b4da8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_82956,La4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.6339,insulator-indirect,"a,x4","10.7416,0.437266",aflow:10a6f530f72927cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_27119,O14Sn4Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0,metal,"a,x4","10.8233,0.886918",aflow:114c41b16be2e44f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184091,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
4.4659,insulator-direct,"a,x4","10.8637,0.421529",aflow:11c9372b0f238e69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_236209,Hf4La4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.7737,insulator-direct,"a,x4","10.5348,0.817043",aflow:11506721a61caf80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_72206,Ca4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.453,0.817262",aflow:121f0ee16c60c90a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159804,Hg4O14Os4,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",0.530222,76
2.1953,insulator-direct,"a,x4","10.563,0.843012",aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,Ho4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,half-metal,"a,x4","10.5024,0.419969",aflow:13424be793e4ee26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_73787,Bi4O14Ru4,"0.054,0.04,0.047,0.047,0.072,0.08,0.057,0.065,0.09,0.09,0.065,0.057,0.08,0.072,0.09,0.09,0.018,0.018,1.651,1.629,1.641,1.64",0.363628,80
2.6269,insulator-indirect,"a,x4","10.8447,0.834962",aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,Bi4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
3.7692,insulator-indirect,"a,x4","10.7365,0.418368",aflow:14d786d35c76cb0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Nd2O7_ICSD_236210,Hf4Nd4O14,"-0.003,-0.003,-0.003,-0.003,2.968,2.967,2.968,2.968,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.039,-0.039",0.545505,60
0,metal,"a,x4","10.4576,0.833735",aflow:148bf06809f995c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2F1O6Ta2_ICSD_50048,Ca4F2O12Ta4,"0.01,0.01,0.01,0.01,0.002,0.002,0.017,0.016,0.015,0.015,0.018,0.017,0.017,0.016,0.017,0.018,0.015,0.015,0.26,0.304,0.307,0.354",0.0902556,54
0.8473,insulator-indirect,"a,x4","10.0566,0.41755",aflow:15306e405a40d418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7V2_ICSD_160866,Er4O14V4,"0.006,0.008,0.007,0.007,-0.028,-0.028,-0.026,-0.026,-0.025,-0.025,-0.026,-0.026,-0.028,-0.028,-0.025,-0.025,0,0,1.042,1.031,1.037,1.037",0.181812,60
2.1716,insulator-direct,"a,x4","10.855,0.414142",aflow:151fad1cd73ac6ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Sn2_ICSD_84744,O14Pr4Sn4,"-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.008,-0.031,-0.031,1.987,1.987,1.987,1.987,0.001,0.001,0.001,0.001",0.363631,60
0,metal,"a,x4","10.3427,0.822018",aflow:15ae777e26b8ed99,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155771,Cd4O14Os4,"0.032,0.033,0.032,0.032,0.167,0.148,0.189,0.189,0.165,0.184,0.189,0.189,0.148,0.167,0.165,0.184,0.121,0.121,2.288,2.273,2.289,2.304",0.544937,68
3.2958,insulator-indirect,"a,x4","10.2515,0.419145",aflow:1a1f97538dbfcd5d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159782,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
2.9911,insulator-direct,"a,x4","10.8866,0.833166",aflow:1b18bb6ddec219e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168600,Ce4O14Zr4,"0.975,0.974,0.975,0.975,-0.017,-0.017,-0.002,-0.003,-0.003,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.002,-0.003,-0.002,-0.001,-0.001,-0.001,-0.001",0.18181,60
0,metal,"a,x4","10.4531,0.817257",aflow:1b8f86be95bc181e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159797,Hg4O14Os4,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",0.53022,76
2.1547,insulator-direct,"a,x4","10.6808,0.839982",aflow:1bd337a4b406d822,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Sn2_ICSD_84753,Gd4O14Sn4,"7.009,7.011,7.011,7.013,-0.016,-0.016,-0.015,-0.015,-0.016,-0.016,-0.015,-0.015,-0.016,-0.016,-0.016,-0.016,-0.043,-0.043,-0.001,-0.001,-0.001,-0.001",1.27273,56
2.0812,insulator-indirect,"a,x4","10.509,0.432754",aflow:1cb434fbbae8abfa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_9714,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.289,insulator-indirect,"a,x4","10.2423,0.830875",aflow:1df6f77ee78226a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_15633,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.9008,insulator-indirect,"a,x4","10.1665,0.831106",aflow:20c791ce08b3aaab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2O7Sb2_ICSD_247302,Co4O14Sb4,"2.817,2.818,2.817,2.816,0.024,0.023,0.023,0.023,0.023,0.024,0.023,0.023,0.023,0.024,0.023,0.024,0.088,0.088,0.002,0.002,0.002,0.002",0.545441,68
3.2266,insulator-indirect,"a,x4","10.5017,0.838027",aflow:213fbef41f8612df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2Hf2O7_ICSD_162004,Dy4Hf4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
