Element,Material_ID,Atomic Mass,Electronegativity,Atomic Radius,Space_Group,Space_Group_Symbol,Density,Volume,Lattice_Parameter_a,Band_Gap,Is Magnetic,Total Magnetization,Melting Point,Thermal Expansion,Thermal Conductivity,Vickers Hardness,Bulk Modulus,Youngs Modulus,Shear Modulus,Poissons Ratio,Metallic Radius,Universal Anisotropy
Dy,mp-10750,162.5,1.22,1.75,65.0,Cmmm,8.565327551863176,126.01390761328369,3.54209641,0.0,False,,1680.0,9.9e-06,11.0,540.0,41.225,61.0,26.058,0.23900000000000002,1.781,0.674
Mn,mp-542909,54.938045,1.55,1.4,213.0,P4_132,6.051266333404382,301.51298940187866,6.705571778002479,0.0,False,,1519.0,2.17e-05,7.8,,248.693,198.0,81.197,0.353,1.27,0.224
Fe,mp-150,55.845,1.83,1.4,225.0,Fm-3m,7.593373845581131,12.212332250413573,2.584865392684528,0.0,False,,1811.0,1.18e-05,80.0,608.0,168.195,211.0,-60.519,0.704,1.26,2.011
Ru,mp-8639,101.07,2.2,1.3,225.0,Fm-3m,12.317994504521419,13.624838331770707,2.6809089485092423,0.0,False,,2607.0,6.4e-06,120.0,,303.897,447.0,198.805,0.231,1.34,0.425
Md,,258.0,1.3,,,,,,,,,,1100.0,,,,,,,,,
Ti,mp-6985,47.867,1.54,1.4,225.0,Fm-3m,4.58236423396145,17.345854575003717,2.905607732151005,0.0,False,,1941.0,8.6e-06,22.0,970.0,108.54,116.0,37.093,0.34700000000000003,1.47,1.718999999999999
Ho,mp-10765,164.93032,1.23,1.75,225.0,Fm-3m,8.824743535883275,31.034696804031867,3.5273959270926287,0.0,False,,1734.0,1.12e-05,16.0,481.0,40.0,65.0,,0.23,1.762,
Sn,,118.71,1.96,1.45,,,,,,,,,505.08,2.2e-05,67.0,,58.0,50.0,,0.36,,
Os,mp-8643,190.23,2.2,1.3,225.0,Fm-3m,22.24384728135039,14.20097625582487,2.718177613223946,0.0,False,,3306.0,5.1e-06,88.0,,394.005,,247.391,0.24,1.35,0.81
Be,mp-20,9.012182,1.57,1.05,229.0,Im-3m,1.9012537646790064,7.871164063017212,2.1704690439745398,0.0,False,,1560.0,1.13e-05,190.0,1670.0,125.076,287.0,111.454,0.156,1.12,3.598
Lr,,262.0,1.3,,,,,,,,,,1900.0,,,,,,,,,
Am,,243.0,1.3,1.75,,,,,,,,,1449.0,,10.0,,,,,,1.73,
Lu,mp-10190,174.967,1.27,1.75,229.0,Im-3m,9.734197605477506,29.84730237120282,3.3846132146330605,0.0,False,,1925.0,9.9e-06,16.0,1160.0,48.0,69.0,,0.26,1.738,
Bi,mp-567597,208.9804,2.02,1.6,11.0,P2_1/m,10.10913438252946,137.30952847486012,4.52638858,0.0,False,,544.4,1.34e-05,8.0,,46.757,32.0,16.698,0.34,,9.198
Y,mp-9,88.90585,1.22,1.8,225.0,Fm-3m,4.441319272052271,33.240491920843745,3.609060995455241,0.0,False,,1799.0,1.06e-05,17.0,,39.59,64.0,23.2,0.255,1.8,0.795
Fm,,257.0,1.3,,,,,,,,,,1800.0,,,,,,,,,
Cm,,247.0,1.3,,,,,,,,,,1613.0,,8.8,,,,,,1.74,
Es,,252.0,1.3,,,,,,,,,,1133.0,,,,,,,,1.86,
Cd,mp-1096861,112.411,1.69,1.55,225.0,Fm-3m,8.551756492407037,21.82742895475344,3.1369374598244897,0.0,False,,594.22,3.08e-05,97.0,,42.0,50.0,,0.3,1.51,
In,mp-1184693,114.818,1.78,1.55,217.0,I-43m,7.111578903675613,777.4832487318267,10.033157823119424,0.0,False,,429.75,3.21e-05,82.0,,,11.0,,,1.67,
Ce,mp-10024,140.116,1.12,1.85,229.0,Im-3m,7.926076457747156,29.354762526089278,3.3658910639557944,0.0,False,,1068.0,6.3e-06,11.0,270.0,22.0,34.0,,0.24,1.818,
Pm,mp-1186429,145.0,1.13,1.85,225.0,Fm-3m,6.976240407818577,34.514029178746384,3.654575063844916,0.0,False,,1373.0,1.1e-05,15.0,,33.0,46.0,,0.28,1.834,
