aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,geometry,positions_fractional
"a,x4","10.7416,0.437266",aflow:10a6f530f72927cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_27119,O14Sn4Ta4,"7.59549,7.59549,7.59549,60,60,60","[0.5, 0.5, 0.5],[0.25, 0.25, 0.25],[0.812266, 0.187734, 0.812266],[0.187734, 0.812266, 0.187734],[0.812266, 0.187734, 0.187734],[0.187734, 0.812266, 0.812266],[0.187734, 0.187734, 0.812266],[0.812266, 0.812266, 0.187734],[0.562266, 0.937734, 0.937734],[0.937734, 0.562266, 0.562266],[0.562266, 0.937734, 0.562266],[0.937734, 0.562266, 0.937734],[0.562266, 0.562266, 0.937734],[0.937734, 0.937734, 0.562266],[0.375, 0.875, 0.375],[0.875, 0.375, 0.375],[0.375, 0.375, 0.875],[0.375, 0.375, 0.375],[0.875, 0.375, 0.875],[0.375, 0.875, 0.875],[0.875, 0.875, 0.375],[0.875, 0.875, 0.875]"
"a,x4","10.8233,0.886918",aflow:114c41b16be2e44f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184091,La4O14Zr4,"7.6532,7.6532,7.6532,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0],[0.886918, 0.363082, 0.386918],[0.363082, 0.886918, 0.863082],[0.363082, 0.363082, 0.386918],[0.886918, 0.886918, 0.863082],[0.363082, 0.886918, 0.386918],[0.886918, 0.363082, 0.863082],[0.113082, 0.113082, 0.136918],[0.636918, 0.636918, 0.613082],[0.636918, 0.113082, 0.136918],[0.113082, 0.636918, 0.613082],[0.636918, 0.113082, 0.613082],[0.113082, 0.636918, 0.136918],[0.125, 0.125, 0.625],[0.875, 0.875, 0.375],[0, 0, 0],[0, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0.5]"
"a,x4","10.8637,0.421529",aflow:11c9372b0f238e69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_236209,Hf4La4O14,"7.68182,7.68182,7.68182,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5],[0.578471, 0.0784711, 0.671529],[0.171529, 0.671529, 0.0784711],[0.578471, 0.671529, 0.0784711],[0.171529, 0.0784711, 0.671529],[0.578471, 0.671529, 0.671529],[0.171529, 0.0784711, 0.0784711],[0.828471, 0.921529, 0.328471],[0.421529, 0.328471, 0.921529],[0.828471, 0.328471, 0.921529],[0.421529, 0.921529, 0.328471],[0.421529, 0.328471, 0.328471],[0.828471, 0.921529, 0.921529],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375]"
"a,x4","10.5348,0.817043",aflow:11506721a61caf80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_72206,Ca4Nb4O14,"7.44924,7.44924,7.44924,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5],[0.317043, 0.317043, 0.432957],[0.932957, 0.932957, 0.817043],[0.317043, 0.932957, 0.432957],[0.932957, 0.317043, 0.817043],[0.932957, 0.317043, 0.432957],[0.317043, 0.932957, 0.817043],[0.0670427, 0.682957, 0.182957],[0.682957, 0.0670427, 0.567043],[0.0670427, 0.0670427, 0.182957],[0.682957, 0.682957, 0.567043],[0.0670427, 0.682957, 0.567043],[0.682957, 0.0670427, 0.182957],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125]"
"a,x4","10.453,0.817262",aflow:121f0ee16c60c90a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159804,Hg4O14Os4,"7.3914,7.3914,7.3914,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.317262, 0.317262, 0.432738],[0.932738, 0.932738, 0.817262],[0.317262, 0.932738, 0.432738],[0.932738, 0.317262, 0.817262],[0.932738, 0.317262, 0.432738],[0.317262, 0.932738, 0.817262],[0.0672623, 0.682738, 0.182738],[0.682738, 0.0672623, 0.567262],[0.0672623, 0.0672623, 0.182738],[0.682738, 0.682738, 0.567262],[0.0672623, 0.682738, 0.567262],[0.682738, 0.0672623, 0.182738],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]"
"a,x4","10.563,0.843012",aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,Ho4O14Sn4,"7.46914,7.46914,7.46914,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.343012, 0.343012, 0.406988],[0.906988, 0.906988, 0.843012],[0.343012, 0.906988, 0.406988],[0.906988, 0.343012, 0.843012],[0.906988, 0.343012, 0.406988],[0.343012, 0.906988, 0.843012],[0.0930119, 0.656988, 0.156988],[0.656988, 0.0930119, 0.593012],[0.0930119, 0.0930119, 0.156988],[0.656988, 0.656988, 0.593012],[0.0930119, 0.656988, 0.593012],[0.656988, 0.0930119, 0.156988],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]"
"a,x4","10.5024,0.419969",aflow:13424be793e4ee26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_73787,Bi4O14Ru4,"7.42632,7.42632,7.42632,60,60,60","[0.625, 0.625, 0.625],[0.125, 0.625, 0.625],[0.625, 0.625, 0.125],[0.625, 0.125, 0.625],[0.205031, 0.794969, 0.205031],[0.794969, 0.205031, 0.794969],[0.205031, 0.205031, 0.794969],[0.794969, 0.794969, 0.205031],[0.794969, 0.205031, 0.205031],[0.205031, 0.794969, 0.794969],[0.455031, 0.455031, 0.0449694],[0.0449694, 0.0449694, 0.455031],[0.455031, 0.0449694, 0.455031],[0.0449694, 0.455031, 0.0449694],[0.455031, 0.0449694, 0.0449694],[0.0449694, 0.455031, 0.455031],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75],[0.125, 0.125, 0.125],[0.625, 0.125, 0.125],[0.125, 0.125, 0.625],[0.125, 0.625, 0.125]"
"a,x4","10.8447,0.834962",aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,Bi4O14Sn4,"7.66836,7.66836,7.66836,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.5, 0, 0.5],[0.334962, 0.415038, 0.834962],[0.915038, 0.834962, 0.415038],[0.334962, 0.834962, 0.415038],[0.915038, 0.415038, 0.834962],[0.334962, 0.415038, 0.415038],[0.915038, 0.834962, 0.834962],[0.0849623, 0.584962, 0.165038],[0.665038, 0.165038, 0.584962],[0.0849623, 0.165038, 0.584962],[0.665038, 0.584962, 0.165038],[0.665038, 0.584962, 0.584962],[0.0849623, 0.165038, 0.165038],[0.625, 0.125, 0.125],[0.375, 0.875, 0.875],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0, 0.5],[0, 0.5, 0]"
"a,x4","10.7365,0.418368",aflow:14d786d35c76cb0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Nd2O7_ICSD_236210,Hf4Nd4O14,"7.59188,7.59188,7.59188,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5],[0.581632, 0.0816317, 0.668368],[0.168368, 0.668368, 0.0816317],[0.581632, 0.668368, 0.0816317],[0.168368, 0.0816317, 0.668368],[0.581632, 0.668368, 0.668368],[0.168368, 0.0816317, 0.0816317],[0.831632, 0.918368, 0.331632],[0.418368, 0.331632, 0.918368],[0.831632, 0.331632, 0.918368],[0.418368, 0.918368, 0.331632],[0.418368, 0.331632, 0.331632],[0.831632, 0.918368, 0.918368],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375]"
"a,x4","10.4576,0.833735",aflow:148bf06809f995c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2F1O6Ta2_ICSD_50048,Ca4F2O12Ta4,"7.39462,7.39462,7.39462,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.375, 0.375, 0.375],[0.625, 0.625, 0.625],[0.666265, 0.0837348, 0.666265],[0.0837348, 0.666265, 0.0837348],[0.0837348, 0.666265, 0.666265],[0.666265, 0.0837348, 0.0837348],[0.666265, 0.666265, 0.0837348],[0.0837348, 0.0837348, 0.666265],[0.333735, 0.916265, 0.333735],[0.916265, 0.333735, 0.916265],[0.916265, 0.916265, 0.333735],[0.333735, 0.333735, 0.916265],[0.333735, 0.916265, 0.916265],[0.916265, 0.333735, 0.333735],[0, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0, 0]"
