aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,geometry,positions_fractional
"a,x4","10.6063,0.408248",aflow:43a95bb7cd8a43ac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_153817,O14Sn4Y4,"7.49976,7.49976,7.49976,60,60,60","[0.341752, 0.408248, 0.908248],[0.908248, 0.841752, 0.341752],[0.341752, 0.408248, 0.341752],[0.908248, 0.841752, 0.908248],[0.908248, 0.408248, 0.341752],[0.341752, 0.841752, 0.908248],[0.0917517, 0.158248, 0.0917517],[0.658248, 0.591752, 0.658248],[0.0917517, 0.158248, 0.658248],[0.658248, 0.591752, 0.0917517],[0.0917517, 0.591752, 0.658248],[0.658248, 0.158248, 0.0917517],[0.375, 0.875, 0.375],[0.625, 0.125, 0.625],[0, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0],[0, 0.5, 0.5],[0.5, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0.5],[0.5, 0, 0]"
"a,x4","10.4531,0.81726",aflow:455356e5dfe33177,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159796,Hg4O14Os4,"7.39143,7.39143,7.39143,60,60,60","[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.68274, 0.0672597, 0.68274],[0.0672597, 0.68274, 0.0672597],[0.0672597, 0.68274, 0.68274],[0.68274, 0.0672597, 0.0672597],[0.68274, 0.68274, 0.0672597],[0.0672597, 0.0672597, 0.68274],[0.31726, 0.93274, 0.93274],[0.93274, 0.31726, 0.31726],[0.93274, 0.31726, 0.93274],[0.31726, 0.93274, 0.31726],[0.31726, 0.31726, 0.93274],[0.93274, 0.93274, 0.31726],[0.625, 0.625, 0.625],[0.375, 0.375, 0.375],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]"
"a,x4","10.508,0.817316",aflow:45da11711f06cd30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_27122,Cd4Nb4O14,"7.43025,7.43025,7.43025,60,60,60","[0.625, 0.625, 0.125],[0.625, 0.625, 0.625],[0.125, 0.625, 0.625],[0.625, 0.125, 0.625],[0.125, 0.125, 0.625],[0.125, 0.125, 0.125],[0.625, 0.125, 0.125],[0.125, 0.625, 0.125],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75],[0.192316, 0.807684, 0.807684],[0.807684, 0.192316, 0.192316],[0.807684, 0.192316, 0.807684],[0.192316, 0.807684, 0.192316],[0.192316, 0.192316, 0.807684],[0.807684, 0.807684, 0.192316],[0.0576836, 0.442316, 0.0576836],[0.442316, 0.0576836, 0.442316],[0.442316, 0.0576836, 0.0576836],[0.0576836, 0.442316, 0.442316],[0.0576836, 0.0576836, 0.442316],[0.442316, 0.442316, 0.0576836]"
"a,x4","10.8859,0.83311",aflow:46c19ace37abc759,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168596,Ce4O14Zr4,"7.6975,7.6975,7.6975,60,60,60","[0.5, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0],[0.5, 0, 0.5],[0.375, 0.875, 0.375],[0.625, 0.125, 0.625],[0.66689, 0.58311, 0.66689],[0.0831101, 0.16689, 0.0831101],[0.66689, 0.58311, 0.0831101],[0.0831101, 0.16689, 0.66689],[0.0831101, 0.58311, 0.66689],[0.66689, 0.16689, 0.0831101],[0.91689, 0.83311, 0.33311],[0.33311, 0.41689, 0.91689],[0.91689, 0.83311, 0.91689],[0.33311, 0.41689, 0.33311],[0.91689, 0.41689, 0.33311],[0.33311, 0.83311, 0.91689],[0, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0.5],[0, 0.5, 0]"
"a,x4","10.535,0.817494",aflow:465fb4e9bb6a474e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_9715,Cd4O14Ta4,"7.44938,7.44938,7.44938,60,60,60","[0, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0],[0, 0.5, 0.5],[0.125, 0.625, 0.125],[0.875, 0.375, 0.875],[0.432506, 0.317494, 0.817494],[0.817494, 0.932506, 0.432506],[0.432506, 0.317494, 0.432506],[0.817494, 0.932506, 0.817494],[0.817494, 0.317494, 0.432506],[0.432506, 0.932506, 0.817494],[0.182506, 0.0674943, 0.182506],[0.567494, 0.682506, 0.567494],[0.182506, 0.0674943, 0.567494],[0.567494, 0.682506, 0.182506],[0.182506, 0.682506, 0.567494],[0.567494, 0.0674943, 0.182506],[0.5, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0.5],[0.5, 0, 0]"
"a,x4","10.8264,0.363044",aflow:463c5b0d17fa2d9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184098,La4O14Zr4,"7.65544,7.65544,7.65544,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.363044, 0.363044, 0.386956],[0.886956, 0.886956, 0.863044],[0.363044, 0.886956, 0.386956],[0.886956, 0.363044, 0.863044],[0.886956, 0.363044, 0.386956],[0.363044, 0.886956, 0.863044],[0.113044, 0.636956, 0.136956],[0.636956, 0.113044, 0.613044],[0.113044, 0.113044, 0.136956],[0.636956, 0.636956, 0.613044],[0.113044, 0.636956, 0.613044],[0.636956, 0.113044, 0.136956],[0.125, 0.125, 0.625],[0.875, 0.875, 0.375],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]"
"a,x4","10.2396,0.830958",aflow:474cec417886a308,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_167563,O14Ti4Y4,"7.2405,7.2405,7.2405,60,60,60","[0.919042, 0.330958, 0.330958],[0.330958, 0.919042, 0.919042],[0.330958, 0.919042, 0.330958],[0.919042, 0.330958, 0.919042],[0.330958, 0.330958, 0.919042],[0.919042, 0.919042, 0.330958],[0.0809585, 0.669042, 0.0809585],[0.669042, 0.0809585, 0.669042],[0.669042, 0.0809585, 0.0809585],[0.0809585, 0.669042, 0.669042],[0.669042, 0.669042, 0.0809585],[0.0809585, 0.0809585, 0.669042],[0.375, 0.375, 0.375],[0.625, 0.625, 0.625],[0, 0, 0],[0, 0, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0.5, 0, 0.5],[0, 0.5, 0.5]"
"a,x4","10.3438,0.822011",aflow:47d700b6c56b509e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155766,Cd4O14Os4,"7.31419,7.31419,7.31419,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.322011, 0.322011, 0.427989],[0.927989, 0.927989, 0.822011],[0.322011, 0.927989, 0.427989],[0.927989, 0.322011, 0.822011],[0.927989, 0.322011, 0.427989],[0.322011, 0.927989, 0.822011],[0.072011, 0.677989, 0.177989],[0.677989, 0.072011, 0.572011],[0.072011, 0.072011, 0.177989],[0.677989, 0.677989, 0.572011],[0.072011, 0.677989, 0.572011],[0.677989, 0.072011, 0.177989],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]"
"a,x4","10.9722,0.833292",aflow:47f7fd7233cdb705,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_24195,La4O14Sn4,"7.7585,7.7585,7.7585,60,60,60","[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5],[0.125, 0.125, 0.625],[0.875, 0.875, 0.375],[0.416708, 0.833292, 0.333292],[0.833292, 0.416708, 0.916708],[0.833292, 0.416708, 0.333292],[0.416708, 0.833292, 0.916708],[0.416708, 0.416708, 0.333292],[0.833292, 0.833292, 0.916708],[0.583292, 0.166708, 0.0832917],[0.166708, 0.583292, 0.666708],[0.166708, 0.583292, 0.0832917],[0.583292, 0.166708, 0.666708],[0.583292, 0.583292, 0.666708],[0.166708, 0.166708, 0.0832917],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0]"
"a,x4","10.6799,0.83227",aflow:491d48d0074836ad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2Hf2O7_ICSD_236212,Eu4Hf4O14,"7.55183,7.55183,7.55183,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5],[0.33227, 0.33227, 0.41773],[0.91773, 0.91773, 0.83227],[0.33227, 0.91773, 0.41773],[0.91773, 0.33227, 0.83227],[0.91773, 0.33227, 0.41773],[0.33227, 0.91773, 0.83227],[0.0822698, 0.66773, 0.16773],[0.66773, 0.0822698, 0.58227],[0.0822698, 0.0822698, 0.16773],[0.66773, 0.66773, 0.58227],[0.0822698, 0.66773, 0.58227],[0.66773, 0.0822698, 0.16773],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125]"
"a,x4","10.5375,0.817079",aflow:4aaabc9e717d320e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_22411,Ca4Nb4O14,"7.45112,7.45112,7.45112,60,60,60","[0.375, 0.875, 0.375],[0.375, 0.375, 0.875],[0.375, 0.375, 0.375],[0.875, 0.375, 0.375],[0.875, 0.375, 0.875],[0.875, 0.875, 0.375],[0.875, 0.875, 0.875],[0.375, 0.875, 0.875],[0.5, 0.5, 0.5],[0.25, 0.25, 0.25],[0.192079, 0.192079, 0.807921],[0.807921, 0.807921, 0.192079],[0.807921, 0.192079, 0.807921],[0.192079, 0.807921, 0.192079],[0.807921, 0.192079, 0.192079],[0.192079, 0.807921, 0.807921],[0.557921, 0.942079, 0.557921],[0.942079, 0.557921, 0.942079],[0.942079, 0.942079, 0.557921],[0.557921, 0.557921, 0.942079],[0.942079, 0.557921, 0.557921],[0.557921, 0.942079, 0.942079]"
"a,x4","10.5217,0.843614",aflow:4b573afa6b1e0d55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Yb2_ICSD_82964,O14Sn4Yb4,"7.43999,7.43999,7.43999,60,60,60","[0.906386, 0.343614, 0.343614],[0.343614, 0.906386, 0.906386],[0.343614, 0.906386, 0.343614],[0.906386, 0.343614, 0.906386],[0.343614, 0.343614, 0.906386],[0.906386, 0.906386, 0.343614],[0.0936144, 0.656386, 0.0936144],[0.656386, 0.0936144, 0.656386],[0.656386, 0.0936144, 0.0936144],[0.0936144, 0.656386, 0.656386],[0.656386, 0.656386, 0.0936144],[0.0936144, 0.0936144, 0.656386],[0.375, 0.375, 0.375],[0.625, 0.625, 0.625],[0, 0, 0],[0, 0, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0.5, 0, 0.5],[0, 0.5, 0.5]"
"a,x4","10.3153,0.829202",aflow:4ce95fbe3fce93b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_24207,Gd4O14Ti4,"7.294,7.294,7.294,60,60,60","[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5],[0.125, 0.125, 0.625],[0.875, 0.875, 0.375],[0.420797, 0.829202, 0.329203],[0.829202, 0.420797, 0.920798],[0.829202, 0.420797, 0.329203],[0.420797, 0.829202, 0.920798],[0.420797, 0.420797, 0.329203],[0.829202, 0.829202, 0.920798],[0.579202, 0.170797, 0.0792025],[0.170797, 0.579202, 0.670798],[0.170797, 0.579202, 0.0792025],[0.579202, 0.170797, 0.670798],[0.579202, 0.579202, 0.670798],[0.170797, 0.170797, 0.0792025],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0]"
"a,x4","10.4063,0.412545",aflow:4ccb36dec7b68f47,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159771,Mo4O14Tb4,"7.35834,7.35834,7.35834,60,60,60","[0, 0, 0],[0.5, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.587455, 0.087455, 0.662545],[0.162545, 0.662545, 0.087455],[0.587455, 0.662545, 0.087455],[0.162545, 0.087455, 0.662545],[0.587455, 0.662545, 0.662545],[0.162545, 0.087455, 0.087455],[0.837455, 0.912545, 0.337455],[0.412545, 0.337455, 0.912545],[0.837455, 0.337455, 0.912545],[0.412545, 0.912545, 0.337455],[0.412545, 0.337455, 0.337455],[0.837455, 0.912545, 0.912545],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5]"
"a,x4","10.3437,0.822021",aflow:4c6953b4a0fa5011,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155769,Cd4O14Os4,"7.31413,7.31413,7.31413,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.0720208, 0.677979, 0.677979],[0.677979, 0.0720208, 0.0720208],[0.677979, 0.677979, 0.0720208],[0.0720208, 0.0720208, 0.677979],[0.677979, 0.0720208, 0.677979],[0.0720208, 0.677979, 0.0720208],[0.927979, 0.927979, 0.322021],[0.322021, 0.322021, 0.927979],[0.322021, 0.927979, 0.927979],[0.927979, 0.322021, 0.322021],[0.322021, 0.927979, 0.322021],[0.927979, 0.322021, 0.927979],[0.625, 0.625, 0.625],[0.375, 0.375, 0.375],[0, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0, 0]"
"a,x4","10.249,0.830762",aflow:4dc4576f6ea86fac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_151747,O14Tb4Ti4,"7.24712,7.24712,7.24712,60,60,60","[0.669238, 0.0807617, 0.669238],[0.0807617, 0.669238, 0.0807617],[0.0807617, 0.669238, 0.669238],[0.669238, 0.0807617, 0.0807617],[0.669238, 0.669238, 0.0807617],[0.0807617, 0.0807617, 0.669238],[0.330762, 0.919238, 0.919238],[0.919238, 0.330762, 0.330762],[0.919238, 0.330762, 0.919238],[0.330762, 0.919238, 0.330762],[0.330762, 0.330762, 0.919238],[0.919238, 0.919238, 0.330762],[0.625, 0.625, 0.625],[0.375, 0.375, 0.375],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]"
"a,x4","10.4743,0.824495",aflow:4ddd3fc4b2a6ef79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ti2_ICSD_161100,Bi4O14Ti4,"7.40644,7.40644,7.40644,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.324495, 0.324495, 0.425505],[0.925505, 0.925505, 0.824495],[0.324495, 0.925505, 0.425505],[0.925505, 0.324495, 0.824495],[0.925505, 0.324495, 0.425505],[0.324495, 0.925505, 0.824495],[0.0744952, 0.675505, 0.175505],[0.675505, 0.0744952, 0.574495],[0.0744952, 0.0744952, 0.175505],[0.675505, 0.675505, 0.574495],[0.0744952, 0.675505, 0.574495],[0.675505, 0.0744952, 0.175505],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]"
"a,x3,x4","13.0169,0.276986,0.224936",aflow:4e06c5bc5f484ac8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Hg1K2N4_ICSD_62084,C8Hg2K4N8,"9.20436,9.20436,9.20436,60,60,60","[0.955959, 0.348014, 0.348014],[0.348014, 0.348014, 0.348014],[0.348014, 0.955959, 0.348014],[0.348014, 0.348014, 0.955959],[0.901986, 0.901986, 0.901986],[0.294041, 0.901986, 0.901986],[0.901986, 0.294041, 0.901986],[0.901986, 0.901986, 0.294041],[0, 0, 0],[0.25, 0.25, 0.25],[0.125, 0.625, 0.625],[0.625, 0.625, 0.625],[0.625, 0.125, 0.625],[0.625, 0.625, 0.125],[0.799809, 0.400064, 0.400064],[0.400064, 0.400064, 0.400064],[0.400064, 0.799809, 0.400064],[0.400064, 0.400064, 0.799809],[0.849936, 0.849936, 0.849936],[0.450191, 0.849936, 0.849936],[0.849936, 0.450191, 0.849936],[0.849936, 0.849936, 0.450191]"
"a,x4","10.7802,0.438202",aflow:4f689ce2ad31aa19,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_163818,O14Sn4Ta4,"7.62276,7.62276,7.62276,60,60,60","[0.688202, 0.561798, 0.0617977],[0.0617977, 0.188202, 0.688202],[0.0617977, 0.561798, 0.688202],[0.688202, 0.188202, 0.0617977],[0.688202, 0.561798, 0.688202],[0.0617977, 0.188202, 0.0617977],[0.311798, 0.811798, 0.938202],[0.938202, 0.438202, 0.311798],[0.938202, 0.811798, 0.311798],[0.311798, 0.438202, 0.938202],[0.311798, 0.438202, 0.311798],[0.938202, 0.811798, 0.938202],[0.625, 0.125, 0.625],[0.375, 0.875, 0.375],[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0, 0, 0.5],[0.5, 0, 0],[0, 0, 0],[0, 0.5, 0],[0.5, 0.5, 0],[0, 0.5, 0.5]"
"a,x4","10.3863,0.359865",aflow:5032318cfec8a5e0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Sb2_ICSD_24245,Ca4O14Sb4,"7.34424,7.34424,7.34424,60,60,60","[0.125, 0.625, 0.625],[0.625, 0.625, 0.125],[0.625, 0.625, 0.625],[0.625, 0.125, 0.625],[0.765135, 0.765135, 0.234865],[0.234865, 0.234865, 0.765135],[0.765135, 0.234865, 0.234865],[0.234865, 0.765135, 0.765135],[0.765135, 0.234865, 0.765135],[0.234865, 0.765135, 0.234865],[0.0151354, 0.484865, 0.484865],[0.484865, 0.0151354, 0.0151354],[0.0151354, 0.0151354, 0.484865],[0.484865, 0.484865, 0.0151354],[0.484865, 0.0151354, 0.484865],[0.0151354, 0.484865, 0.0151354],[0, 0, 0],[0.25, 0.25, 0.25],[0.625, 0.125, 0.125],[0.125, 0.125, 0.625],[0.125, 0.125, 0.125],[0.125, 0.625, 0.125]"
"a,x4","10.3427,0.427982",aflow:50ddac208526fffa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155772,Cd4O14Os4,"7.31337,7.31337,7.31337,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0.5, 0],[0.5, 0, 0],[0.677982, 0.0720175, 0.572018],[0.0720175, 0.677982, 0.177982],[0.677982, 0.677982, 0.572018],[0.0720175, 0.0720175, 0.177982],[0.0720175, 0.677982, 0.572018],[0.677982, 0.0720175, 0.177982],[0.927982, 0.927982, 0.822018],[0.322018, 0.322018, 0.427982],[0.927982, 0.322018, 0.822018],[0.322018, 0.927982, 0.427982],[0.927982, 0.322018, 0.427982],[0.322018, 0.927982, 0.822018],[0.625, 0.625, 0.125],[0.375, 0.375, 0.875],[0, 0, 0],[0.5, 0, 0.5],[0, 0, 0.5],[0, 0.5, 0.5]"
"a,x4","10.879,0.818806",aflow:51714392649712d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Hg2Ni2S1_ICSD_4083,F12Hg4Ni4S2,"7.69259,7.69259,7.69259,60,60,60","[0.806194, 0.806194, 0.193806],[0.193806, 0.193806, 0.806194],[0.806194, 0.193806, 0.193806],[0.193806, 0.806194, 0.806194],[0.806194, 0.193806, 0.806194],[0.193806, 0.806194, 0.193806],[0.0561937, 0.443806, 0.443806],[0.443806, 0.0561937, 0.0561937],[0.0561937, 0.0561937, 0.443806],[0.443806, 0.443806, 0.0561937],[0.443806, 0.0561937, 0.443806],[0.0561937, 0.443806, 0.0561937],[0.125, 0.625, 0.625],[0.625, 0.625, 0.125],[0.625, 0.625, 0.625],[0.625, 0.125, 0.625],[0.625, 0.125, 0.125],[0.125, 0.125, 0.625],[0.125, 0.125, 0.125],[0.125, 0.625, 0.125],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75]"
"a,x4","10.2594,0.413115",aflow:51ea47843e461e60,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2O7Y2_ICSD_187534,Ir4O14Y4,"7.25446,7.25446,7.25446,60,60,60","[0, 0, 0],[0, 0.5, 0],[0, 0.5, 0.5],[0.5, 0.5, 0],[0.913115, 0.413115, 0.336885],[0.336885, 0.836885, 0.913115],[0.336885, 0.413115, 0.913115],[0.913115, 0.836885, 0.336885],[0.336885, 0.413115, 0.336885],[0.913115, 0.836885, 0.913115],[0.0868851, 0.163115, 0.663115],[0.663115, 0.586885, 0.0868851],[0.663115, 0.163115, 0.0868851],[0.0868851, 0.586885, 0.663115],[0.663115, 0.586885, 0.663115],[0.0868851, 0.163115, 0.0868851],[0.375, 0.875, 0.375],[0.625, 0.125, 0.625],[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0, 0],[0, 0, 0.5]"
"a,x4","10.8273,0.363008",aflow:518630d75dad5140,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184096,La4O14Zr4,"7.65602,7.65602,7.65602,60,60,60","[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.636992, 0.113008, 0.636992],[0.113008, 0.636992, 0.113008],[0.113008, 0.636992, 0.636992],[0.636992, 0.113008, 0.113008],[0.636992, 0.636992, 0.113008],[0.113008, 0.113008, 0.636992],[0.363008, 0.886992, 0.886992],[0.886992, 0.363008, 0.363008],[0.886992, 0.363008, 0.886992],[0.363008, 0.886992, 0.363008],[0.363008, 0.363008, 0.886992],[0.886992, 0.886992, 0.363008],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]"
"a,x4","10.8848,0.416792",aflow:52ca4f34ce90ae48,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168595,Ce4O14Zr4,"7.69675,7.69675,7.69675,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0, 0, 0.5],[0.5, 0, 0],[0.375, 0.875, 0.375],[0.625, 0.125, 0.625],[0.666792, 0.583208, 0.083208],[0.083208, 0.166792, 0.666792],[0.083208, 0.583208, 0.666792],[0.666792, 0.166792, 0.083208],[0.666792, 0.583208, 0.666792],[0.083208, 0.166792, 0.083208],[0.333208, 0.833208, 0.916792],[0.916792, 0.416792, 0.333208],[0.916792, 0.833208, 0.333208],[0.333208, 0.416792, 0.916792],[0.333208, 0.416792, 0.333208],[0.916792, 0.833208, 0.916792],[0, 0, 0],[0, 0.5, 0],[0.5, 0.5, 0],[0, 0.5, 0.5]"
"a,x4","10.5611,0.817387",aflow:54ff4abcf9aa0a9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Ta2_ICSD_27121,Ca4O14Ta4,"7.4678,7.4678,7.4678,60,60,60","[0.875, 0.375, 0.375],[0.375, 0.375, 0.375],[0.375, 0.375, 0.875],[0.375, 0.875, 0.375],[0.5, 0.5, 0.5],[0.25, 0.25, 0.25],[0.192387, 0.192387, 0.807613],[0.807613, 0.807613, 0.192387],[0.192387, 0.807613, 0.192387],[0.807613, 0.192387, 0.807613],[0.192387, 0.807613, 0.807613],[0.807613, 0.192387, 0.192387],[0.942387, 0.557613, 0.942387],[0.557613, 0.942387, 0.557613],[0.942387, 0.942387, 0.557613],[0.557613, 0.557613, 0.942387],[0.557613, 0.942387, 0.942387],[0.942387, 0.557613, 0.557613],[0.375, 0.875, 0.875],[0.875, 0.875, 0.875],[0.875, 0.875, 0.375],[0.875, 0.375, 0.875]"
"a,x4","10.6069,0.822847",aflow:5419805aeec1a922,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Ti2_ICSD_164027,La4O14Ti4,"7.50022,7.50022,7.50022,60,60,60","[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.677153, 0.0728474, 0.677153],[0.0728474, 0.677153, 0.0728474],[0.0728474, 0.677153, 0.677153],[0.677153, 0.0728474, 0.0728474],[0.677153, 0.677153, 0.0728474],[0.0728474, 0.0728474, 0.677153],[0.322847, 0.927153, 0.927153],[0.927153, 0.322847, 0.322847],[0.927153, 0.322847, 0.927153],[0.322847, 0.927153, 0.322847],[0.322847, 0.322847, 0.927153],[0.927153, 0.927153, 0.322847],[0.625, 0.625, 0.625],[0.375, 0.375, 0.375],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]"
"a,x4","10.6051,0.408212",aflow:542a24e530204c1a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_74706,O14Sn4Y4,"7.49896,7.49896,7.49896,60,60,60","[0.341788, 0.908212, 0.408212],[0.908212, 0.341788, 0.841788],[0.908212, 0.341788, 0.408212],[0.341788, 0.908212, 0.841788],[0.341788, 0.341788, 0.408212],[0.908212, 0.908212, 0.841788],[0.658212, 0.0917884, 0.158212],[0.0917884, 0.658212, 0.591788],[0.0917884, 0.658212, 0.158212],[0.658212, 0.0917884, 0.591788],[0.658212, 0.658212, 0.591788],[0.0917884, 0.0917884, 0.158212],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0]"
"a,x4","10.2224,0.831543",aflow:55b9faf4733959de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Ti2_ICSD_188553,Dy4O14Ti4,"7.22833,7.22833,7.22833,60,60,60","[0, 0, 0],[0.5, 0, 0.5],[0, 0, 0.5],[0, 0.5, 0.5],[0.875, 0.875, 0.375],[0.125, 0.125, 0.625],[0.581543, 0.168457, 0.668457],[0.168457, 0.581543, 0.0815429],[0.581543, 0.581543, 0.668457],[0.168457, 0.168457, 0.0815429],[0.168457, 0.581543, 0.668457],[0.581543, 0.168457, 0.0815429],[0.831543, 0.831543, 0.918457],[0.418457, 0.418457, 0.331543],[0.831543, 0.418457, 0.918457],[0.418457, 0.831543, 0.331543],[0.831543, 0.418457, 0.331543],[0.418457, 0.831543, 0.918457],[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0.5, 0],[0.5, 0, 0]"
