Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Dy1Tc1O6,Dy,Tc,3.0,4.0,5.00051,10.3373,7.63422,-7.88166,,-7.88166,0.545465,1.3957,insulator-indirect_spin-polarized,72.0,186.522,95.8064,245.403,0.280721,497.247,,3.28746e-05,,1.027,0.645,1.23,1.9,DFT,pristine,aflow
Dy1Ti1O6,Dy,Ti,3.0,4.0,6.58296,10.2224,6.62585,-8.27656,,-8.27656,0.0,3.2411,insulator-indirect,60.0,185.922,102.479,259.719,0.267179,558.223,,3.10801e-05,,1.027,0.605,1.23,1.54,DFT,pristine,aflow
Er1Hf1O6,Er,Hf,3.0,4.0,5.98782,10.4568,9.33528,-9.36257,,-9.36257,0.0,3.0089,insulator-indirect,56.0,172.767,97.5229,246.237,0.262457,448.492,,3.03539e-05,,1.004,0.71,1.24,1.3,DFT,pristine,aflow
Er1Mn1O6,Er,Mn,3.0,4.0,4.989436675997718,9.9871,7.41997,-7.79849,,-7.79849,0.545491,0.9107,insulator-indirect,68.0,177.02489746630937,101.63674573692676,255.5778198211873,0.27036979355973995,537.0072263839122,,4.151601469177253e-05,,1.004,0.53,1.24,1.55,DFT,pristine,aflow
Er1Ru1O6,Er,Ru,3.0,4.0,4.33276,10.2086,8.09935,-7.37072,,-7.37072,0.363641,0.555,insulator-indirect,72.0,191.189,90.4173,234.315,0.295739,474.893,,3.41074e-05,,1.004,0.62,1.24,2.2,DFT,pristine,aflow
Er1Sn1O6,Er,Sn,3.0,4.0,4.27273,10.5375,7.76459,-7.10082,,-7.10082,0.0,2.173,insulator-direct,56.0,161.939,88.3115,224.183,0.269272,464.382,,3.75243e-05,,1.004,0.69,1.24,1.96,DFT,pristine,aflow
Er1Tc1O6,Er,Tc,3.0,4.0,5.35573,10.2867,7.86351,-7.88249,,-7.88249,0.545477,1.2928,insulator-indirect_spin-polarized,68.0,185.906,99.3199,252.919,0.273255,501.298,,3.2543e-05,,1.004,0.645,1.24,1.9,DFT,pristine,aflow
Er1Ti1O6,Er,Ti,3.0,4.0,6.62512,10.170649999999998,6.8477175,-8.275365,,-8.275365,0.0,3.108,insulator-indirect,56.0,187.311,103.383,261.956,0.266916,554.34,,3.10007e-05,,1.004,0.605,1.24,1.54,DFT,pristine,aflow
Eu1Hf1O6,Eu,Hf,3.0,4.0,5.319041261619768,10.6796,8.42934,-9.88435,,-9.88435,1.09097,0.1378,insulator-direct,56.0,162.57327535391175,84.3697438045468,216.02873858499768,0.2794634638872856,456.4241578180397,,3.537006832545034e-05,,1.066,0.71,1.2,1.3,DFT,pristine,aflow
Eu1Ir1O6,Eu,Ir,2.0,5.0,4.907278114910141,10.4492,9.31914,-7.715615,,-7.715615,1.329805,0.0,metal,72.0,171.99408092300447,86.89471786101058,222.5683758025102,0.2858505509854323,470.70962998234984,,3.8384620940411655e-05,,1.25,0.57,1.2,2.2,DFT,pristine,aflow
Eu1Mo1O6,Eu,Mo,3.0,4.0,5.194906281852379,10.6126,6.75505,-8.76192,,-8.76192,1.45455,0.0,half-metal,64.0,158.3246097587761,88.59860638240313,223.23817124694637,0.28492339971795744,478.5218151042253,,3.705216338480637e-05,,1.066,0.65,1.2,2.16,DFT,pristine,aflow
Eu1Ru1O6,Eu,Ru,3.0,4.0,4.859717196089824,10.48485,7.123335,-7.840260000000001,,-7.840260000000001,1.63082,0.0,metal,72.0,175.1208015342686,89.49431685032063,227.02842783320975,0.2896207634760089,483.4056476008236,,3.741986620421658e-05,,1.066,0.62,1.2,2.2,DFT,pristine,aflow
Eu1Ti1O6,Eu,Ti,3.0,4.0,5.551970958753223,10.3811,6.076335,-8.756765,,-8.756765,1.09248,0.258225,insulator-direct,56.0,172.66315603977023,87.1061595630236,225.3631008297657,0.2810145552761619,536.3907044603618,,3.5946490013121474e-05,,1.066,0.605,1.2,1.54,DFT,pristine,aflow
Eu1Zr1O6,Eu,Zr,3.0,4.0,5.216279160510653,10.7595,6.38147,-9.48624,,-9.48624,1.09091,0.1307,insulator-direct,56.0,157.85924912385465,79.90580424269565,205.21734841963334,0.2833060221001794,473.60569683354726,,3.5927360124725386e-05,,1.066,0.72,1.2,1.33,DFT,pristine,aflow
Gd1Hf1O6,Gd,Hf,3.0,4.0,5.86906,10.5943,8.75272,-11.0309,,-11.0309,1.27271,3.4526,insulator-indirect,56.0,168.0,94.9153,239.62,0.262282,451.01,,3.04456e-05,,1.053,0.71,1.2,1.3,DFT,pristine,aflow
Gd1Mo1O6,Gd,Mo,3.0,4.0,4.959260724152429,10.475874999999998,7.1453225,-9.801994999999998,,-9.801994999999998,1.1551875,0.0,metal,64.0,171.18137986919396,90.83374064533315,232.93009274995183,0.2878745786398633,479.82373666198635,,3.469211244651181e-05,,1.053,0.65,1.2,2.16,DFT,pristine,aflow
Gd1Ru1O6,Gd,Ru,3.0,4.0,4.701104173961622,10.3034,7.63474,-7.80877,,-7.80877,1.26958,0.0,metal,72.0,183.76294342208752,90.72002408831894,232.52865818116857,0.2925789048660619,487.63057730450305,,3.498452616401963e-05,,1.053,0.62,1.2,2.2,DFT,pristine,aflow
Gd1Sn1O6,Gd,Sn,3.0,4.0,4.03794,10.6808,7.23794,-8.76022,,-8.76022,1.27273,2.1547,insulator-direct,56.0,156.244,84.0285,213.765,0.271976,462.877,,3.80546e-05,,1.053,0.69,1.2,1.96,DFT,pristine,aflow
Gd1Ti1O6,Gd,Ti,3.0,4.0,6.45483,10.31386,6.324024,-9.916214,,-9.916214,1.272752,3.2736400000000003,insulator-indirect_spin-polarized,56.0,179.628,98.4684,249.766,0.268256,555.168,,3.12767e-05,,1.053,0.605,1.2,1.54,DFT,pristine,aflow
Gd1Zr1O6,Gd,Zr,3.0,4.0,4.72694,10.571733333333334,6.847359999999999,-10.39615,,-10.39615,1.2727583333333332,0.5979,insulator-direct,56.0,168.46699999999998,77.233,200.371,0.3003755,461.2255,,3.162355e-05,,1.053,0.72,1.2,1.33,DFT,pristine,aflow
Nb1Hg1O6,Hg,Nb,2.0,5.0,5.591122684177824,10.6183,7.75602,-6.61068,,-6.61068,0.0,0.5345,insulator-indirect,64.0,153.700814552785,72.29272635785746,192.0609091538361,0.28505792537064467,443.03977220498723,,3.265330710032538e-05,,1.14,0.64,2.0,1.6,DFT,pristine,aflow
Hg1Os1O6,Hg,Os,2.0,5.0,4.116050512555136,10.45273125,10.39400625,-5.47960125,,-5.47960125,0.53025,0.0,metal,76.0,171.19097684071082,82.82712702950234,212.48815547137056,0.29418849420802434,411.5426505753953,,3.669973509991711e-05,,1.14,0.575,2.0,2.2,DFT,pristine,aflow
Hg1Ru1O6,Hg,Ru,2.0,5.0,3.348140268524503,10.4019,8.443,-5.01111,,-5.01111,0.539595,0.0,metal,76.0,170.6300660624933,81.56639588353842,209.6598165023873,0.2941454819725894,416.39418543079734,,3.937463297183817e-05,,1.14,0.565,2.0,2.2,DFT,pristine,aflow
Ho1Hf1O6,Ho,Hf,3.0,4.0,5.91332,10.4824,9.21326,-9.36745,,-9.36745,0.0,3.1166,insulator-indirect,56.0,171.933,96.6444,244.181,0.263298,448.315,,3.0352e-05,,1.015,0.71,1.24,1.3,DFT,pristine,aflow
Ho1Ru1O6,Ho,Ru,3.0,4.0,4.36323,10.2314,7.98764,-7.36749,,-7.36749,0.363642,0.5524,insulator-indirect,72.0,189.472,90.5528,234.328,0.293876,477.496,,3.41245e-05,,1.015,0.62,1.24,2.2,DFT,pristine,aflow
Ho1Sn1O6,Ho,Sn,3.0,4.0,4.25834,10.563,7.65603,-7.10373,,-7.10373,0.0,2.1953,insulator-direct,56.0,161.428,88.2199,223.877,0.268858,466.293,,3.75956e-05,,1.015,0.69,1.24,1.96,DFT,pristine,aflow
Mn1In1O6,In,Mn,3.0,4.0,3.7434632049951824,9.8712,6.23585,-6.46156,,-6.46156,0.545243,1.2881,insulator-indirect_spin-polarized,68.0,169.13059457073115,76.02411621968983,198.6247699354379,0.28949539617731584,504.3785721691238,,4.749327902706806e-05,,0.92,0.53,1.78,1.55,DFT,pristine,aflow
La1Hf1O6,La,Hf,3.0,4.0,5.26227,10.8215,7.82984,-9.184886666666666,,-9.184886666666666,0.0,2.9769000000000005,"insulator-direct, metal",56.0,164.978,89.6564,227.718,0.26995,454.664,,3.07248e-05,,1.16,0.71,1.1,1.3,DFT,pristine,aflow
